Name,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points
Sachin Tendulkar,c & b Trivedi,30,34,2,0,88.24,1,336036,1,32
Abhishek Nayar,lbw b Sohail Tanvir,25,18,3,0,138.89,1,336036,1,28
Robin Uthappa,st †Kamran Akmal b Warne,3,8,0,0,37.5,1,336036,1,-3
Dwayne Smith,c Patel b Sohail Tanvir,8,7,1,0,114.29,1,336036,1,9
Shaun Pollock,c †Kamran Akmal b Sohail Tanvir,0,1,0,0,0,1,336036,1,-2
Manish Pandey,b Sohail Tanvir,3,6,0,0,50,1,336036,1,3
Yogesh Takawale,not out,24,8,4,1,300,1,336036,1,36
Rohan Raje,not out,1,2,0,0,50,1,336036,1,1
Kamran Akmal,run out (Pandey),18,16,4,0,112.5,2,336036,1,22
Swapnil Asnodkar,c †Takawale b Fernando,17,18,2,0,94.44,2,336036,1,19
Yusuf Pathan,c Nehra b Fernando,2,4,0,0,50,2,336036,1,2
Shane Watson,c Tendulkar b Raje,18,19,3,0,94.74,2,336036,1,21
Mohammad Kaif,run out (Raje/Jayasuriya),12,15,0,0,80,2,336036,1,12
Ravindra Jadeja,not out,23,20,0,1,115,2,336036,1,25
Niraj Patel,not out,40,29,2,1,137.93,2,336036,1,44
Adam Gilchrist,c Mukund b Gony,5,8,0,0,62.5,1,336037,1,5
Herschelle Gibbs,c Balaji b Ntini,8,10,2,0,80,1,336037,1,10
Scott Styris,b Muralitharan,20,20,3,0,100,1,336037,1,23
Venugopal Rao,run out (Gony/†Patel),46,46,3,1,100,1,336037,1,51
Dwaraka Ravi Teja,c Mukund b Morkel,40,28,4,1,142.86,1,336037,1,46
Shahid Afridi,c Raina b Balaji,1,2,0,0,50,1,336037,1,1
Arjun Yadav,b Morkel,0,1,0,0,0,1,336037,1,-2
RP Singh,c Morkel b Balaji,10,4,1,1,250,1,336037,1,19
Pragyan Ojha,not out,1,1,0,0,100,1,336037,1,1
Parthiv Patel,c Shahid Afridi b Sarvesh Kumar,20,27,3,0,74.07,2,336037,1,23
Stephen Fleming,c †Gilchrist b Vijaykumar,14,9,3,0,155.56,2,336037,1,17
Suresh Raina,not out,54,43,5,2,125.58,2,336037,1,63
MS Dhoni,c Gibbs b Ojha,37,25,4,1,148,2,336037,1,43
Albie Morkel,not out,12,12,1,0,100,2,336037,1,13
Graeme Smith,c Dhawan b Maharoof,25,21,5,0,119.05,1,336038,1,30
Swapnil Asnodkar,c Tiwary b Maharoof,39,21,6,1,185.71,1,336038,1,53
Sohail Tanvir,c †Karthik b Maharoof,5,5,1,0,100,1,336038,1,6
Shane Watson,st †Karthik b Mishra,52,29,4,3,179.31,1,336038,1,68
Mohammad Kaif,b Mishra,12,11,0,1,109.09,1,336038,1,14
Yusuf Pathan,run out (Dilshan/†Karthik),45,21,3,4,214.29,1,336038,1,62
Ravindra Jadeja,c Maharoof b Mahesh,7,5,0,1,140,1,336038,1,9
Shane Warne,c Sehwag b Mahesh,0,1,0,0,0,1,336038,1,-2
Mahesh Rawat,c & b Mohammad Asif,2,4,0,0,50,1,336038,1,2
Munaf Patel,not out,0,0,0,0,0,1,336038,1,-2
Siddharth Trivedi,not out,1,2,0,0,50,1,336038,1,1
Gautam Gambhir,c sub (T Kohli) b Watson,11,15,1,0,73.33,2,336038,1,12
Virender Sehwag,c Sohail Tanvir b Watson,3,4,0,0,75,2,336038,1,3
Shikhar Dhawan,c Jadeja b Watson,5,12,0,0,41.67,2,336038,1,-1
Manoj Tiwary,c Asnodkar b Patel,0,3,0,0,0,2,336038,1,-2
Tillakaratne Dilshan,c Sohail Tanvir b Warne,33,22,5,1,150,2,336038,1,40
Dinesh Karthik,c Kaif b Trivedi,10,12,1,0,83.33,2,336038,1,11
Farveez Maharoof,c Pathan b Warne,6,6,1,0,100,2,336038,1,7
Amit Mishra,b Patel,2,5,0,0,40,2,336038,1,-4
Yo Mahesh,c †Rawat b Patel,3,10,0,0,30,2,336038,1,-3
Mohammad Asif,run out (Pathan/†Rawat),3,5,0,0,60,2,336038,1,3
Glenn McGrath,not out,4,3,1,0,133.33,2,336038,1,5
Shaun Marsh,b Ntini,23,17,3,1,135.29,1,336039,1,28
James Hopes,c †Patel b Ntini,2,5,0,0,40,1,336039,1,-4
Kumar Sangakkara,c †Patel b Gony,3,4,0,0,75,1,336039,1,3
Yuvraj Singh,c Muralitharan b Gony,4,8,0,0,50,1,336039,1,4
Mahela Jayawardene,c †Patel b Morkel,8,10,1,0,80,1,336039,1,9
Irfan Pathan,run out (Ntini/Gony),3,12,0,0,25,1,336039,1,-3
Wilkin Mota,c Raina b Morkel,25,26,2,0,96.15,1,336039,1,27
Piyush Chawla,b Muralitharan,12,15,1,0,80,1,336039,1,13
Ramesh Powar,not out,28,21,4,1,133.33,1,336039,1,34
Sreesanth,not out,0,2,0,0,0,1,336039,1,-2
Parthiv Patel,not out,51,48,8,0,106.25,2,336039,1,59
Vidyut Sivaramakrishnan,c Mota b Pathan,6,7,1,0,85.71,2,336039,1,7
Suresh Raina,not out,55,34,4,4,161.76,2,336039,1,67
Parthiv Patel,c †Kamran Akmal b Pathan,38,33,5,0,115.15,1,336040,1,43
Vidyut Sivaramakrishnan,c Jadeja b Pathan,16,14,1,1,114.29,1,336040,1,19
Suresh Raina,c Jadeja b Watson,43,30,1,2,143.33,1,336040,1,48
Albie Morkel,c †Kamran Akmal b Pathan,16,13,0,2,123.08,1,336040,1,20
MS Dhoni,not out,29,17,1,2,170.59,1,336040,1,40
Chamara Kapugedera,c Asnodkar b Sohail Tanvir,8,12,0,0,66.67,1,336040,1,8
S Badrinath,not out,6,2,1,0,300,1,336040,1,13
Niraj Patel,b Gony,2,11,0,0,18.18,2,336040,1,-4
Swapnil Asnodkar,c Raina b Morkel,28,20,4,0,140,2,336040,1,32
Kamran Akmal,run out (Ntini),6,7,1,0,85.71,2,336040,1,7
Shane Watson,b Muralitharan,28,19,3,0,147.37,2,336040,1,31
Yusuf Pathan,run out (Raina),56,39,3,4,143.59,2,336040,1,67
Mohammad Kaif,c Dhoni b Muralitharan,12,9,0,1,133.33,2,336040,1,14
Ravindra Jadeja,c Kapugedera b Morkel,0,1,0,0,0,2,336040,1,-2
Shane Warne,not out,9,9,1,0,100,2,336040,1,10
Sohail Tanvir,not out,9,7,0,0,128.57,2,336040,1,9
Sanath Jayasuriya,c Hayden b Thushara,26,20,5,0,130,1,392181,2,31
Sachin Tendulkar,not out,59,49,7,0,120.41,1,392181,2,66
Shikhar Dhawan,c Dhoni b Gony,22,21,2,0,104.76,1,392181,2,24
Jean Paul Duminy,c & b Gony,9,7,1,0,128.57,1,392181,2,10
Dwayne Bravo,c Hayden b Joginder Sharma,5,4,1,0,125,1,392181,2,6
Abhishek Nayar,c Thushara b Oram,35,14,2,3,250,1,392181,2,49
Harbhajan Singh,run out (Oram),4,2,1,0,200,1,392181,2,11
Zaheer Khan,c Ashwin b Flintoff,2,3,0,0,66.67,1,392181,2,2
Pinal Shah,not out,0,0,0,0,0,1,392181,2,-2
Parthiv Patel,c Tendulkar b Malinga,0,2,0,0,0,2,392181,2,-2
Matthew Hayden,c Khan b Jayasuriya,44,35,6,1,125.71,2,392181,2,52
Suresh Raina,c Raje b Bravo,8,9,1,0,88.89,2,392181,2,9
Andrew Flintoff,c & b Harbhajan Singh,24,23,2,1,104.35,2,392181,2,28
MS Dhoni,b Malinga,36,26,1,2,138.46,2,392181,2,41
Jacob Oram,c †Shah b Jayasuriya,8,6,0,1,133.33,2,392181,2,10
S Badrinath,c Bravo b Malinga,0,2,0,0,0,2,392181,2,-2
Joginder Sharma,not out,16,15,0,1,106.67,2,392181,2,18
Thilan Thushara,not out,1,2,0,0,50,2,392181,2,1
Jesse Ryder,c †Rawat b Mascarenhas,0,2,0,0,0,1,392182,2,-2
Robin Uthappa,c †Rawat b Mascarenhas,3,10,0,0,30,1,392182,2,-3
Ross Taylor,b Mascarenhas,0,1,0,0,0,1,392182,2,-2
Kevin Pietersen,c NK Patel b Henderson,32,30,4,0,106.67,1,392182,2,36
Rahul Dravid,c Warne b MM Patel,66,48,8,1,137.5,1,392182,2,76
Virat Kohli,b Warne,3,8,0,0,37.5,1,392182,2,-3
Balachandra Akhil,b Warne,9,9,1,0,100,1,392182,2,10
Praveen Kumar,c & b MM Patel,8,10,0,1,80,1,392182,2,10
Vinay Kumar,not out,8,2,2,0,400,1,392182,2,16
Dale Steyn,not out,0,0,0,0,0,1,392182,2,-2
Graeme Smith,c Dravid b Kumar,2,11,0,0,18.18,2,392182,2,-4
Swapnil Asnodkar,c Kohli b Kumar,0,2,0,0,0,2,392182,2,-2
Niraj Patel,c Kumble b Ryder,4,16,0,0,25,2,392182,2,-2
Tyron Henderson,b Ryder,11,15,0,1,73.33,2,392182,2,13
Yusuf Pathan,c Ryder b Kumble,11,14,1,0,78.57,2,392182,2,12
Dimitri Mascarenhas,run out (Kohli/†Uthappa),0,1,0,0,0,2,392182,2,-2
Ravindra Jadeja,c Kohli b Kumble,11,10,0,1,110,2,392182,2,13
Shane Warne,st †Uthappa b Kumble,3,9,0,0,33.33,2,392182,2,-3
Mahesh Rawat,not out,4,7,0,0,57.14,2,392182,2,4
Munaf Patel,c Steyn b Kumble,0,2,0,0,0,2,392182,2,-2
Kamran Khan,c †Uthappa b Kumble,3,5,0,0,60,2,392182,2,3
Ravi Bopara,lbw b Vettori,22,16,0,2,137.5,1,392183,2,26
Karan Goel,c Vettori b Mahesh,38,21,3,3,180.95,1,392183,2,53
Yuvraj Singh,run out (†Karthik/Vettori),16,11,0,2,145.45,1,392183,2,20
Kumar Sangakkara,c Nannes b Vettori,8,11,1,0,72.73,1,392183,2,9
Mahela Jayawardene,c Dilshan b Vettori,6,6,1,0,100,1,392183,2,7
Irfan Pathan,c Dilshan b Salvi,6,7,0,0,85.71,1,392183,2,6
Piyush Chawla,run out (Tiwary),0,0,0,0,0,1,392183,2,-2
Taruwar Kohli,not out,0,0,0,0,0,1,392183,2,-2
Gautam Gambhir,not out,15,13,2,0,115.38,2,392183,2,17
Virender Sehwag,not out,38,16,4,3,237.5,2,392183,2,54
Brendon McCullum,c †Gilchrist b Singh,1,3,0,0,33.33,1,392184,2,-5
Chris Gayle,c Harmeet Singh b Singh,10,12,1,1,83.33,1,392184,2,13
Sourav Ganguly,c Laxman b Harmeet Singh,1,12,0,0,8.33,1,392184,2,-5
Brad Hodge,c Gibbs b Styris,31,34,4,0,91.18,1,392184,2,35
Aakash Chopra,st †Gilchrist b Ojha,11,19,2,0,57.89,1,392184,2,13
Laxmi Shukla,st †Gilchrist b Ojha,8,6,0,1,133.33,1,392184,2,10
Moises Henriques,c Sharma b Styris,6,8,0,0,75,1,392184,2,6
Ajit Agarkar,run out (Sharma),7,3,0,1,233.33,1,392184,2,15
Murali Kartik,not out,10,10,0,0,100,1,392184,2,10
Ishant Sharma,b Singh,9,9,0,1,100,1,392184,2,11
Ashok Dinda,b Singh,2,2,0,0,100,1,392184,2,2
Adam Gilchrist,c Henriques b Dinda,13,11,2,0,118.18,2,392184,2,15
Herschelle Gibbs,not out,43,26,5,1,165.38,2,392184,2,50
VVS Laxman,run out (Shukla/†McCullum),10,10,1,1,100,2,392184,2,13
Rohit Sharma,not out,36,32,3,2,112.5,2,392184,2,43
Parthiv Patel,b Pietersen,30,26,2,1,115.38,1,392185,2,34
Matthew Hayden,run out (Dravid),65,35,9,2,185.71,1,392185,2,84
Suresh Raina,c Kohli b Kumar,28,29,1,1,96.55,1,392185,2,31
MS Dhoni,c Bishnoi b Kumar,16,14,0,1,114.29,1,392185,2,18
Andrew Flintoff,not out,22,13,2,1,169.23,1,392185,2,26
Albie Morkel,b Steyn,5,3,1,0,166.67,1,392185,2,6
Praveen Kumar,b Gony,0,3,0,0,0,2,392185,2,-2
Robin Uthappa,st †Dhoni b Muralitharan,20,19,2,0,105.26,2,392185,2,22
Jacques Kallis,lbw b Morkel,24,19,5,0,126.32,2,392185,2,29
Ross Taylor,c & b Flintoff,1,4,0,0,25,2,392185,2,-5
Kevin Pietersen,lbw b Muralitharan,0,1,0,0,0,2,392185,2,-2
Rahul Dravid,c Flintoff b Balaji,20,18,2,0,111.11,2,392185,2,22
Virat Kohli,c Badrinath b Joginder Sharma,11,13,0,1,84.62,2,392185,2,13
Rajesh Bishnoi,c Balaji b Muralitharan,0,1,0,0,0,2,392185,2,-2
Vinay Kumar,c Hayden b Balaji,5,6,0,0,83.33,2,392185,2,5
Dale Steyn,run out (Raina/†Dhoni),0,3,0,0,0,2,392185,2,-2
Anil Kumble,not out,1,5,0,0,20,2,392185,2,-5
Ravi Bopara,c †McCullum b Ganguly,15,15,2,0,100,1,392186,2,17
Karan Goel,c Gayle b Sharma,0,7,0,0,0,1,392186,2,-2
Irfan Pathan,c Kartik b Ganguly,32,17,5,1,188.24,1,392186,2,45
Kumar Sangakkara,run out (Chopra/†McCullum),26,24,2,0,108.33,1,392186,2,28
Yuvraj Singh,c Yashpal Singh b Henriques,38,28,3,2,135.71,1,392186,2,45
Mahela Jayawardene,not out,31,19,3,1,163.16,1,392186,2,36
Taruwar Kohli,c †McCullum b Dinda,1,4,0,0,25,1,392186,2,-5
Piyush Chawla,not out,3,6,0,0,50,1,392186,2,3
Brendon McCullum,c †Sangakkara b Malik,21,16,1,2,131.25,2,392186,2,26
Chris Gayle,not out,44,26,2,4,169.23,2,392186,2,54
Brad Hodge,not out,10,14,0,0,71.43,2,392186,2,10
Adam Gilchrist,c Kohli b Pietersen,71,45,6,5,157.78,1,392188,2,87
Herschelle Gibbs,lbw b Kumar,13,7,1,1,185.71,1,392188,2,22
VVS Laxman,c Steyn b Ryder,5,10,0,0,50,1,392188,2,5
Rohit Sharma,c Pietersen b Steyn,52,30,1,5,173.33,1,392188,2,69
Scott Styris,c Kumar b Pietersen,14,8,0,1,175,1,392188,2,22
Venugopal Rao,run out (Sharma/†Uthappa),9,13,0,0,69.23,1,392188,2,9
Dwaraka Ravi Teja,not out,8,5,1,0,160,1,392188,2,9
Fidel Edwards,not out,3,2,0,0,150,1,392188,2,3
Jesse Ryder,b Edwards,0,1,0,0,0,2,392188,2,-2
Robin Uthappa,c Ravi Teja b Styris,12,19,1,0,63.16,2,392188,2,13
Jacques Kallis,c Sharma b Singh,15,14,3,0,107.14,2,392188,2,18
Kevin Pietersen,st †Gilchrist b Ojha,11,15,1,0,73.33,2,392188,2,12
Rahul Dravid,c Venugopal Rao b Styris,48,27,5,2,177.78,2,392188,2,63
Virat Kohli,c Gibbs b Singh,50,32,7,0,156.25,2,392188,2,57
Rajesh Bishnoi,run out (†Gilchrist/Harmeet Singh),1,2,0,0,50,2,392188,2,1
Karn Sharma,c †Gilchrist b Styris,1,3,0,0,33.33,2,392188,2,-5
Praveen Kumar,not out,14,6,0,2,233.33,2,392188,2,24
Anil Kumble,not out,1,1,0,0,100,2,392188,2,1
Gautam Gambhir,c †Dhoni b Balaji,0,1,0,0,0,1,392189,2,-2
Virender Sehwag,c Morkel b Gony,6,9,1,0,66.67,1,392189,2,7
AB de Villiers,not out,105,54,5,6,194.44,1,392189,2,144
Tillakaratne Dilshan,c Raina b Morkel,50,27,7,2,185.19,1,392189,2,67
Dinesh Karthik,c Flintoff b Balaji,18,16,2,0,112.5,1,392189,2,20
Manoj Tiwary,c Flintoff b Balaji,9,13,1,0,69.23,1,392189,2,10
Daniel Vettori,not out,0,0,0,0,0,1,392189,2,-2
Parthiv Patel,c de Villiers b Sangwan,16,15,2,0,106.67,2,392189,2,18
Matthew Hayden,c Nannes b Sangwan,57,27,5,3,211.11,2,392189,2,74
Suresh Raina,c de Villiers b Sangwan,41,27,5,1,151.85,2,392189,2,48
MS Dhoni,c †Karthik b Vettori,5,7,0,0,71.43,2,392189,2,5
Andrew Flintoff,c sub (DA Warner) b Nehra,16,17,1,0,94.12,2,392189,2,17
Albie Morkel,not out,13,14,1,0,92.86,2,392189,2,14
S Badrinath,c sub (DA Warner) b Vettori,7,8,0,0,87.5,2,392189,2,7
Manpreet Gony,run out (Sehwag/Vettori),6,2,0,1,300,2,392189,2,14
Joginder Sharma,run out (sub [DA Warner]),4,3,0,0,133.33,2,392189,2,4
Lakshmipathy Balaji,run out (Sangwan/Nannes),0,0,0,0,0,2,392189,2,-2
Muttiah Muralitharan,not out,0,1,0,0,0,2,392189,2,-2
Graeme Smith,c Gayle b Mendis,15,21,1,0,71.43,1,392190,2,16
Paul Valthaty,c Sharma b Anureet Singh,5,7,1,0,71.43,1,392190,2,6
Rob Quiney,c Gayle b Sharma,6,2,0,1,300,1,392190,2,14
Yusuf Pathan,c Yashpal Singh b Mendis,42,21,6,2,200,1,392190,2,58
Ravindra Jadeja,c Yashpal Singh b Sharma,22,26,0,0,84.62,1,392190,2,22
Dimitri Mascarenhas,b Anureet Singh,27,28,2,0,96.43,1,392190,2,29
Abhishek Raut,not out,21,13,1,2,161.54,1,392190,2,26
Shane Warne,not out,2,2,0,0,100,1,392190,2,2
Chris Gayle,c Jadeja b Warne,41,33,2,4,124.24,2,392190,2,51
Brendon McCullum,c Kamran Khan b Mascarenhas,3,9,0,0,33.33,2,392190,2,-3
Laxmi Shukla,c †Rawat b Kamran Khan,13,13,1,0,100,2,392190,2,14
Brad Hodge,c †Rawat b Patel,5,7,0,0,71.43,2,392190,2,5
Sourav Ganguly,c †Rawat b Kamran Khan,46,30,4,2,153.33,2,392190,2,54
Sanjay Bangar,c Smith b Kamran Khan,2,9,0,0,22.22,2,392190,2,-4
Yashpal Singh,c Raut b Warne,20,18,3,0,111.11,2,392190,2,23
Ajit Agarkar,not out,1,1,0,0,100,2,392190,2,1
Ishant Sharma,run out (Kamran Khan/†Rawat),1,1,0,0,100,2,392190,2,1
Jesse Ryder,b Abdulla,32,21,6,0,152.38,1,392191,2,38
Robin Uthappa,c Yuvraj Singh b Pathan,0,1,0,0,0,1,392191,2,-2
Jacques Kallis,c Jayawardene b Abdulla,62,46,5,2,134.78,1,392191,2,71
Kevin Pietersen,c Goel b Abdulla,0,2,0,0,0,1,392191,2,-2
Rahul Dravid,c Singh b Chawla,10,13,0,0,76.92,1,392191,2,10
Ross Taylor,c Jayawardene b Abdulla,35,22,4,2,159.09,1,392191,2,43
Virat Kohli,c Bopara b Singh,2,3,0,0,66.67,1,392191,2,2
Praveen Kumar,lbw b Pathan,13,7,0,1,185.71,1,392191,2,21
Vinay Kumar,not out,1,1,0,0,100,1,392191,2,1
Pankaj Singh,b Pathan,0,1,0,0,0,1,392191,2,-2
Anil Kumble,not out,5,3,1,0,166.67,1,392191,2,6
Ravi Bopara,c Ryder b Kallis,84,59,4,5,142.37,2,392191,2,98
Karan Goel,run out (Vinay Kumar/†Uthappa),19,19,1,0,100,2,392191,2,20
Kumar Sangakkara,c Pankaj Singh b Kumble,26,18,2,1,144.44,2,392191,2,30
Yuvraj Singh,not out,30,17,3,1,176.47,2,392191,2,41
Mahela Jayawardene,not out,1,1,0,0,100,2,392191,2,1
Adam Gilchrist,c †Shah b Bravo,35,20,3,3,175,1,392192,2,50
Herschelle Gibbs,run out (Bravo/Khan),58,44,6,2,131.82,1,392192,2,68
Dwayne Smith,b Jayasuriya,35,22,2,2,159.09,1,392192,2,41
Rohit Sharma,c Dhawan b Bravo,3,5,0,0,60,1,392192,2,3
VVS Laxman,c Nayar b Bravo,0,1,0,0,0,1,392192,2,-2
Venugopal Rao,b Malinga,9,10,0,0,90,1,392192,2,9
Dwaraka Ravi Teja,lbw b Malinga,9,9,1,0,100,1,392192,2,10
RP Singh,c Jayasuriya b Harbhajan Singh,4,4,0,0,100,1,392192,2,4
Fidel Edwards,b Malinga,1,3,0,0,33.33,1,392192,2,-5
Pragyan Ojha,not out,0,2,0,0,0,1,392192,2,-2
Sanath Jayasuriya,c †Gilchrist b Singh,1,8,0,0,12.5,2,392192,2,-5
Sachin Tendulkar,c Gibbs b Ojha,36,27,3,2,133.33,2,392192,2,43
Jean Paul Duminy,c Smith b Ojha,47,40,4,2,117.5,2,392192,2,55
Shikhar Dhawan,b Ojha,3,7,0,0,42.86,2,392192,2,-3
Dwayne Bravo,lbw b Edwards,21,18,2,0,116.67,2,392192,2,23
Abhishek Nayar,c †Gilchrist b Edwards,10,6,0,1,166.67,2,392192,2,12
Harbhajan Singh,c Smith b Singh,20,8,1,2,250,2,392192,2,31
Zaheer Khan,not out,4,6,0,0,66.67,2,392192,2,4
Pinal Shah,not out,1,1,0,0,100,2,392192,2,1
Jacques Kallis,b Nannes,0,1,0,0,0,1,392194,2,-2
Robin Uthappa,c Sangwan b Nehra,3,4,0,0,75,1,392194,2,3
Kevin Pietersen,b Vettori,37,25,2,2,148,1,392194,2,43
Ross Taylor,lbw b Mishra,31,34,3,0,91.18,1,392194,2,34
Virat Kohli,c Dilshan b Nehra,22,24,1,0,91.67,1,392194,2,23
Mark Boucher,c Mishra b Sangwan,36,28,2,2,128.57,1,392194,2,42
Balachandra Akhil,not out,8,4,0,1,200,1,392194,2,16
Vinay Kumar,run out (de Villiers),0,0,0,0,0,1,392194,2,-2
Pankaj Singh,not out,1,1,0,0,100,1,392194,2,1
Gautam Gambhir,c †Boucher b Pankaj Singh,16,19,1,0,84.21,2,392194,2,17
Virender Sehwag,c Pietersen b Pankaj Singh,7,5,0,1,140,2,392194,2,9
Tillakaratne Dilshan,not out,67,47,5,2,142.55,2,392194,2,76
AB de Villiers,b Appanna,21,23,0,0,91.3,2,392194,2,21
Dinesh Karthik,c Kallis b Akhil,12,9,1,1,133.33,2,392194,2,15
Mithun Manhas,not out,23,13,3,0,176.92,2,392194,2,32
Ravi Bopara,c Patel b Kamran Khan,11,15,2,0,73.33,1,392195,2,13
Karan Goel,run out (Jadeja/Asnodkar),0,0,0,0,0,1,392195,2,-2
Kumar Sangakkara,run out (†Rawat),60,51,7,1,117.65,1,392195,2,69
Yuvraj Singh,c †Rawat b Patel,2,3,0,0,66.67,1,392195,2,2
Mahela Jayawardene,c Kamran Khan b Patel,7,10,0,0,70,1,392195,2,7
Irfan Pathan,b Kamran Khan,39,33,2,2,118.18,1,392195,2,45
Piyush Chawla,not out,6,6,1,0,100,1,392195,2,7
Wilkin Mota,not out,1,2,0,0,50,1,392195,2,1
Swapnil Asnodkar,c Powar b Pathan,3,4,0,0,75,2,392195,2,3
Graeme Smith,c †Sangakkara b Pathan,2,6,0,0,33.33,2,392195,2,-4
Rob Quiney,c †Sangakkara b Abdulla,7,8,1,0,87.5,2,392195,2,8
Yusuf Pathan,c Goel b Chawla,10,13,2,0,76.92,2,392195,2,12
Dimitri Mascarenhas,b Abdulla,4,2,1,0,200,2,392195,2,11
Ravindra Jadeja,b Abdulla,37,44,2,0,84.09,2,392195,2,39
Abhishek Raut,c Powar b Chawla,1,4,0,0,25,2,392195,2,-5
Shane Warne,not out,34,33,3,0,103.03,2,392195,2,37
Mahesh Rawat,not out,4,6,0,0,66.67,2,392195,2,4
Parthiv Patel,c †Gilchrist b Edwards,0,2,0,0,0,1,392196,2,-2
Matthew Hayden,c Sharma b Ojha,49,35,8,0,140,1,392196,2,57
Suresh Raina,c & b Sharma,25,19,1,2,131.58,1,392196,2,30
MS Dhoni,c Shoaib Ahmed b Ojha,22,22,1,1,100,1,392196,2,25
Jacob Oram,not out,41,29,4,2,141.38,1,392196,2,49
Albie Morkel,c Singh b Venugopal Rao,13,7,1,1,185.71,1,392196,2,22
S Badrinath,c & b Singh,8,9,1,0,88.89,1,392196,2,9
Manpreet Gony,not out,0,0,0,0,0,1,392196,2,-2
Adam Gilchrist,c Muralitharan b Raina,44,19,5,3,231.58,2,392196,2,61
Herschelle Gibbs,not out,69,56,6,2,123.21,2,392196,2,79
VVS Laxman,c Oram b Raina,4,5,0,0,80,2,392196,2,4
Rohit Sharma,c †Dhoni b Balaji,18,19,0,1,94.74,2,392196,2,20
Dwayne Smith,lbw b Muralitharan,12,5,1,1,240,2,392196,2,21
Azhar Bilakhia,not out,12,14,1,0,85.71,2,392196,2,13
Sanath Jayasuriya,c Ghosh b Shukla,52,32,2,4,162.5,1,392197,2,62
Sachin Tendulkar,lbw b Shukla,68,45,6,4,151.11,1,392197,2,82
Harbhajan Singh,c Mendis b Hodge,18,8,1,2,225,1,392197,2,29
Jean Paul Duminy,not out,18,14,1,0,128.57,1,392197,2,19
Abhishek Nayar,run out (Shukla/†McCullum),3,3,0,0,100,1,392197,2,3
Dwayne Bravo,c Gayle b Shukla,3,5,0,0,60,1,392197,2,3
Shikhar Dhawan,c †McCullum b Sharma,12,10,1,0,120,1,392197,2,13
Saurabh Tiwary,not out,4,3,0,0,133.33,1,392197,2,4
Brendon McCullum,c Duminy b Malinga,1,6,0,0,16.67,2,392197,2,-5
Chris Gayle,c Tendulkar b Bravo,12,11,0,1,109.09,2,392197,2,14
Brad Hodge,b Nayar,24,22,3,0,109.09,2,392197,2,27
Sourav Ganguly,c Bravo b Nayar,34,30,3,1,113.33,2,392197,2,39
Yashpal Singh,c †Shah b Bravo,8,8,0,0,100,2,392197,2,8
Arindam Ghosh,c Tendulkar b Nayar,0,1,0,0,0,2,392197,2,-2
Laxmi Shukla,c Jayasuriya b Khan,6,10,1,0,60,2,392197,2,7
Ishant Sharma,not out,6,3,1,0,200,2,392197,2,13
Ajantha Mendis,b Malinga,0,1,0,0,0,2,392197,2,-2
Ashok Dinda,b Malinga,0,1,0,0,0,2,392197,2,-2
Anureet Singh,absent hurt,-,-,-,-,0,2,392197,2,#VALUE!
Gautam Gambhir,c Warne b Mascarenhas,8,6,1,0,133.33,1,392198,2,9
Virender Sehwag,c Kamran Khan b Mascarenhas,16,11,2,1,145.45,1,392198,2,20
AB de Villiers,lbw b Warne,50,40,5,1,125,1,392198,2,57
Tillakaratne Dilshan,c Asnodkar b Patel,7,10,1,0,70,1,392198,2,8
Dinesh Karthik,c & b Warne,4,5,0,0,80,1,392198,2,4
Daniel Vettori,b Patel,29,28,3,0,103.57,1,392198,2,32
Mithun Manhas,not out,23,16,2,1,143.75,1,392198,2,27
Amit Mishra,b Kamran Khan,0,4,0,0,0,1,392198,2,-2
Pradeep Sangwan,not out,1,1,0,0,100,1,392198,2,1
Rob Quiney,lbw b Nehra,4,9,1,0,44.44,2,392198,2,-1
Graeme Smith,not out,44,46,5,0,95.65,2,392198,2,49
Swapnil Asnodkar,run out (Mishra),11,8,1,1,137.5,2,392198,2,14
Paul Valthaty,c Vettori b Mishra,1,5,0,0,20,2,392198,2,-5
Ravindra Jadeja,c Sangwan b Mishra,16,13,1,0,123.08,2,392198,2,17
Shane Warne,st †Karthik b Mishra,0,2,0,0,0,2,392198,2,-2
Yusuf Pathan,not out,62,30,3,6,206.67,2,392198,2,83
Brendon McCullum,c Kohli b Pietersen,0,1,0,0,0,1,392199,2,-2
Chris Gayle,c Goswami b Appanna,40,37,6,0,108.11,1,392199,2,46
Brad Hodge,lbw b Kumble,17,15,2,1,113.33,1,392199,2,21
Sourav Ganguly,c Kallis b Kumar,1,8,0,0,12.5,1,392199,2,-5
Morne van Wyk,not out,43,35,4,0,122.86,1,392199,2,47
Wriddhiman Saha,c Pietersen b Kumble,21,14,0,1,150,1,392199,2,23
Laxmi Shukla,lbw b van der Merwe,2,3,0,0,66.67,1,392199,2,2
Ajit Agarkar,not out,6,7,0,0,85.71,1,392199,2,6
Jacques Kallis,c †van Wyk b Sharma,23,25,2,0,92,2,392199,2,25
Shreevats Goswami,c †van Wyk b Hodge,43,46,6,0,93.48,2,392199,2,49
Kevin Pietersen,c Saha b Hodge,13,12,1,0,108.33,2,392199,2,14
Virat Kohli,c †van Wyk b Hodge,19,12,1,1,158.33,2,392199,2,22
Mark Boucher,not out,25,13,2,1,192.31,2,392199,2,35
Roelof van der Merwe,c †van Wyk b Sharma,9,9,0,1,100,2,392199,2,11
