Name,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points
Ishant Sharma,not out,2,1,0,0,200,1,336027,1,8
Graeme Smith,c †Saha b Umar Gul,24,24,4,0,100,2,336027,1,28
Swapnil Asnodkar,c †Saha b Sharma,5,3,1,0,166.67,2,336027,1,6
Sohail Tanvir,c Salman Butt b Umar Gul,13,8,1,1,162.5,2,336027,1,16
Mohammad Kaif,not out,34,31,4,0,109.68,2,336027,1,38
Shane Watson,b Ganguly,19,15,2,1,126.67,2,336027,1,23
Yusuf Pathan,not out,48,18,5,3,266.67,2,336027,1,65
Shaun Marsh,c Pollock b Chitnis,81,56,7,4,144.64,1,336028,1,96
James Hopes,c †Shah b Pollock,0,1,0,0,0,1,336028,1,-2
Luke Pomersbach,not out,79,50,10,3,158,1,336028,1,95
Yuvraj Singh,c Smith b Chitnis,7,6,1,0,116.67,1,336028,1,8
Mahela Jayawardene,c & b Fernando,1,2,0,0,50,1,336028,1,1
Irfan Pathan,not out,9,5,0,1,180,1,336028,1,17
Sanath Jayasuriya,lbw b Sreesanth,20,12,1,2,166.67,2,336028,1,25
Sachin Tendulkar,run out (Pathan),65,46,12,0,141.3,2,336028,1,77
Dwayne Smith,run out (Yuvraj Singh/Chawla),20,16,2,1,125,2,336028,1,24
Abhishek Nayar,c Srivastava b Chawla,27,18,1,2,150,2,336028,1,32
Robin Uthappa,c Hopes b Yuvraj Singh,9,13,0,0,69.23,2,336028,1,9
Shaun Pollock,c Chawla b Yuvraj Singh,0,1,0,0,0,2,336028,1,-2
Pinal Shah,c Singh b Sreesanth,5,5,0,0,100,2,336028,1,5
Siddharth Chitnis,run out (Srivastava),15,6,1,1,250,2,336028,1,24
Dilhara Fernando,not out,2,1,0,0,200,2,336028,1,8
Ashish Nehra,run out (Srivastava/Jayawardene/†Kaul),0,1,0,0,0,2,336028,1,-2
Vikrant Yeligati,run out (Yuvraj Singh),2,2,0,0,100,2,336028,1,2
Jacques Kallis,c Fleming b Gony,5,5,1,0,100,1,336029,1,6
Shreevats Goswami,c †Patel b Gony,10,19,1,0,52.63,1,336029,1,11
Virat Kohli,c Morkel b Muralitharan,10,16,1,0,62.5,1,336029,1,11
Rahul Dravid,c Dhoni b Morkel,47,39,5,0,120.51,1,336029,1,52
Misbah ul Haq,c †Patel b Balaji,4,6,0,0,66.67,1,336029,1,4
Mark Boucher,lbw b Morkel,17,15,3,0,113.33,1,336029,1,20
Balachandra Akhil,not out,6,7,1,0,85.71,1,336029,1,7
Praveen Kumar,b Morkel,21,11,2,1,190.91,1,336029,1,31
Vinay Kumar,b Morkel,0,1,0,0,0,1,336029,1,-2
Anil Kumble,not out,2,1,0,0,200,1,336029,1,8
Parthiv Patel,c & b Kumble,24,29,4,0,82.76,2,336029,1,28
Stephen Fleming,c Akhil b Kumble,45,40,3,2,112.5,2,336029,1,52
MS Dhoni,c Kumble b Vinay Kumar,4,8,0,0,50,2,336029,1,4
Suresh Raina,not out,21,20,2,0,105,2,336029,1,23
S Badrinath,lbw b Kumble,1,3,0,0,33.33,2,336029,1,-5
Albie Morkel,c Vinay Kumar b Steyn,1,5,0,0,20,2,336029,1,-5
Vidyut Sivaramakrishnan,c Kallis b Steyn,0,3,0,0,0,2,336029,1,-2
Manpreet Gony,c Steyn b Kumar,4,4,1,0,100,2,336029,1,5
Lakshmipathy Balaji,run out (Dravid/Goswami),0,4,0,0,0,2,336029,1,-2
Makhaya Ntini,not out,0,6,0,0,0,2,336029,1,-2
Adam Gilchrist,b Powar,50,42,6,1,119.05,1,336031,1,58
Herschelle Gibbs,b Gagandeep Singh,44,34,3,3,129.41,1,336031,1,53
Rohit Sharma,b Singh,50,27,3,4,185.19,1,336031,1,67
Venugopal Rao,c Chawla b Sreesanth,2,5,0,0,40,1,336031,1,-4
Chamara Silva,not out,23,10,2,1,230,1,336031,1,33
Scott Styris,not out,1,2,0,0,50,1,336031,1,1
Shaun Marsh,c Gibbs b Styris,60,46,3,3,130.43,2,336031,1,69
Kumar Sangakkara,c Silva b Sharma,50,25,7,2,200,2,336031,1,67
Yuvraj Singh,c Singh b Ojha,17,15,2,0,113.33,2,336031,1,19
Luke Pomersbach,c Sharma b Ojha,13,12,0,1,108.33,2,336031,1,15
Mahela Jayawardene,not out,14,10,0,1,140,2,336031,1,16
Piyush Chawla,not out,16,9,1,1,177.78,2,336031,1,25
Sanath Jayasuriya,c Dilshan b Mishra,66,42,6,5,157.14,1,336032,1,82
Sachin Tendulkar,b Mahesh,18,16,3,0,112.5,1,336032,1,21
Dwayne Smith,c Geeves b Mahesh,17,17,2,0,100,1,336032,1,19
Robin Uthappa,not out,46,23,5,2,200,1,336032,1,61
Abhishek Nayar,c Dilshan b Geeves,1,3,0,0,33.33,1,336032,1,-5
Shaun Pollock,b Maharoof,16,15,2,0,106.67,1,336032,1,18
Siddharth Chitnis,c Dhawan b Mahesh,3,4,0,0,75,1,336032,1,3
