,Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams
133,Palani  Amarnath,4,0,29,2,7.25,11,5,0,0,0,2,335993,1,50,Chennai Super Kings
134,Muttiah Muralitharan,4,0,12,0,3,15,0,0,3,0,2,335993,1,6,Chennai Super Kings
135,Joginder Sharma,4,0,32,1,8,7,2,1,1,1,2,335993,1,25,Chennai Super Kings
136,Ashok Dinda,3,0,25,0,8.33,11,4,0,2,0,1,335993,1,0,Kolkata Knight Riders
137,Ishant Sharma,3,0,26,0,8.67,10,1,1,1,1,1,335993,1,0,Kolkata Knight Riders
138,Ajit Agarkar,3,0,19,1,6.33,9,3,0,0,0,1,335993,1,25,Kolkata Knight Riders
139,David Hussey,1,0,10,0,10,2,0,1,0,0,1,335993,1,0,Kolkata Knight Riders
140,Mohammad Hafeez,2,0,16,0,8,2,0,1,1,0,1,335993,1,0,Kolkata Knight Riders
141,Murali Kartik,3,0,33,0,11,2,2,2,0,0,1,335993,1,0,Kolkata Knight Riders
142,Laxmi Shukla,2,0,18,0,9,3,2,0,0,0,1,335993,1,0,Kolkata Knight Riders
143,RP Singh,4,1,15,2,3.75,18,2,0,2,0,2,335994,1,68,Deccan Chargers
144,Nuwan Zoysa,4,0,30,1,7.5,11,3,1,1,1,2,335994,1,25,Deccan Chargers
145,Sanjay Bangar,4,0,34,2,8.5,9,4,1,0,0,2,335994,1,50,Deccan Chargers
146,Shahid Afridi,4,0,32,2,8,11,1,2,0,1,2,335994,1,50,Deccan Chargers
147,Pragyan Ojha,2,0,14,0,7,4,2,0,0,0,2,335994,1,0,Deccan Chargers
148,Doddapaneni Kalyankrishna,2,0,23,0,11.5,2,2,1,0,0,2,335994,1,0,Deccan Chargers
149,Ashish Nehra,2,0,19,0,9.5,5,4,0,0,0,1,335994,1,0,Mumbai Indians
150,Shaun Pollock,2,0,33,0,16.5,3,3,3,0,0,1,335994,1,-6,Mumbai Indians
151,Dhawal Kulkarni,1,0,8,0,8,4,2,0,0,0,1,335994,1,0,Mumbai Indians
152,Sanath Jayasuriya,2,0,17,0,8.5,4,1,1,0,0,1,335994,1,0,Mumbai Indians
153,Siddharth Chitnis,2,0,20,0,10,4,2,1,1,0,1,335994,1,0,Mumbai Indians
154,Dwayne Bravo,2,0,31,0,15.5,3,1,3,2,0,1,335994,1,-6,Mumbai Indians
155,Abhishek Nayar,1,0,22,0,22,0,0,3,1,0,1,335994,1,0,Mumbai Indians
156,Brett Lee,4,0,33,1,8.25,7,5,0,0,0,2,335995,1,25,Kings XI Punjab
157,Irfan Pathan,4,0,26,2,6.5,8,2,0,3,0,2,335995,1,50,Kings XI Punjab
158,Sreesanth,2,0,25,0,12.5,2,3,1,0,0,2,335995,1,-6,Kings XI Punjab
159,Vikram Singh,4,0,29,3,7.25,10,4,0,0,0,2,335995,1,79,Kings XI Punjab
160,Piyush Chawla,4,0,29,0,7.25,12,3,1,1,0,2,335995,1,0,Kings XI Punjab
161,Yuvraj Singh,2,0,11,1,5.5,5,1,0,1,0,2,335995,1,25,Kings XI Punjab
162,Glenn McGrath,4,0,29,1,7.25,12,4,1,0,0,1,335995,1,25,Delhi Daredevils
163,Mohammad Asif,4,0,39,2,9.75,11,7,0,0,1,1,335995,1,50,Delhi Daredevils
164,Farveez Maharoof,3,0,31,0,10.33,7,4,1,1,0,1,335995,1,0,Delhi Daredevils
165,Yo Mahesh,4,0,23,1,5.75,9,2,0,0,0,1,335995,1,25,Delhi Daredevils
166,Shoaib Malik,3.3,0,32,1,9.14,8,2,1,2,1,1,335995,1,25,Delhi Daredevils
167,Rajat Bhatia,1,0,5,0,5,2,0,0,1,0,1,335995,1,0,Delhi Daredevils
168,Dale Steyn,4,0,40,0,10,11,6,1,3,0,2,335996,1,0,Bangalore Royal Challengers
169,Zaheer Khan,4,0,38,3,9.5,12,7,1,0,0,2,335996,1,79,Bangalore Royal Challengers
170,Praveen Kumar,4,0,29,1,7.25,8,1,2,0,0,2,335996,1,25,Bangalore Royal Challengers
171,Jacques Kallis,4,0,36,0,9,4,2,1,0,0,2,335996,1,0,Bangalore Royal Challengers
172,Balachandra Akhil,4,0,34,0,8.5,9,1,3,0,0,2,335996,1,0,Bangalore Royal Challengers
173,Jacob Oram,4,0,27,0,6.75,10,2,1,2,0,1,335996,1,0,Chennai Super Kings
174,Manpreet Gony,4,0,34,3,8.5,10,4,1,0,0,1,335996,1,79,Chennai Super Kings
175,Albie Morkel,4,0,38,1,9.5,6,2,2,3,0,1,335996,1,25,Chennai Super Kings
176,Palani  Amarnath,4,0,38,2,9.5,5,5,0,0,0,1,335996,1,50,Chennai Super Kings
177,Joginder Sharma,3.4,0,27,2,7.36,5,1,1,1,0,1,335996,1,50,Chennai Super Kings
178,Shaun Pollock,4,0,27,2,6.75,11,3,1,0,0,2,335997,1,50,Mumbai Indians
179,Ashish Nehra,1,0,9,0,9,3,2,0,0,0,2,335997,1,0,Mumbai Indians
180,Dilhara Fernando,4,0,41,1,10.25,8,6,1,2,0,2,335997,1,25,Mumbai Indians
181,Dhawal Kulkarni,3,0,15,0,5,9,1,0,1,0,2,335997,1,0,Mumbai Indians
182,Dwayne Bravo,4,0,25,1,6.25,11,2,1,1,0,2,335997,1,25,Mumbai Indians
183,Sanath Jayasuriya,4,1,14,3,3.5,14,1,0,1,0,2,335997,1,97,Mumbai Indians
184,Ajit Agarkar,4,0,23,1,5.75,13,2,0,3,1,1,335997,1,25,Kolkata Knight Riders
185,Ishant Sharma,3.4,0,33,1,9,13,6,1,0,0,1,335997,1,25,Kolkata Knight Riders
186,Ashok Dinda,4,0,12,1,3,16,1,0,0,0,1,335997,1,31,Kolkata Knight Riders
187,Murali Kartik,3,0,24,0,8,9,3,1,1,0,1,335997,1,0,Kolkata Knight Riders
188,Mohammad Hafeez,1,0,16,0,16,1,2,0,1,0,1,335997,1,0,Kolkata Knight Riders
189,Sourav Ganguly,2,0,14,0,7,1,1,0,0,0,1,335997,1,0,Kolkata Knight Riders
190,Laxmi Shukla,1,0,11,0,11,1,2,0,0,0,1,335997,1,0,Kolkata Knight Riders
191,Dale Steyn,4,0,29,1,7.25,10,3,0,1,1,2,335998,1,25,Bangalore Royal Challengers
192,Zaheer Khan,4,0,42,1,10.5,9,7,1,0,0,2,335998,1,25,Bangalore Royal Challengers
193,Praveen Kumar,4,0,24,0,6,7,2,0,0,0,2,335998,1,0,Bangalore Royal Challengers
194,Vinay Kumar,2,0,25,0,12.5,1,4,0,0,0,2,335998,1,-6,Bangalore Royal Challengers
195,Jacques Kallis,4,0,39,2,9.75,6,3,2,0,0,2,335998,1,50,Bangalore Royal Challengers
196,Virat Kohli,1,0,11,0,11,0,1,0,0,0,2,335998,1,0,Bangalore Royal Challengers
197,Sunil Joshi,1,0,19,0,19,0,1,2,0,0,2,335998,1,0,Bangalore Royal Challengers
198,Glenn McGrath,4,0,29,4,7.25,10,3,1,0,0,1,335998,1,108,Delhi Daredevils
199,Mohammad Asif,4,0,42,0,10.5,8,5,2,0,0,1,335998,1,0,Delhi Daredevils
200,Yo Mahesh,4,0,28,0,7,8,3,0,0,1,1,335998,1,0,Delhi Daredevils
201,Daniel Vettori,4,0,19,1,4.75,8,1,0,0,0,1,335998,1,31,Delhi Daredevils
202,Rajat Bhatia,1,0,14,0,14,1,3,0,0,0,1,335998,1,0,Delhi Daredevils
203,Shoaib Malik,1,0,8,0,8,3,0,1,0,0,1,335998,1,0,Delhi Daredevils
204,Virender Sehwag,2,0,30,0,15,1,1,3,0,0,1,335998,1,-6,Delhi Daredevils
205,Sreesanth,4,0,33,1,8.25,9,5,0,1,0,2,335999,1,25,Kings XI Punjab
206,Irfan Pathan,4,0,30,2,7.5,9,3,1,1,0,2,335999,1,50,Kings XI Punjab
207,Vikram Singh,4,0,34,0,8.5,6,4,0,0,0,2,335999,1,0,Kings XI Punjab
208,Piyush Chawla,4,0,28,3,7,8,2,1,0,0,2,335999,1,79,Kings XI Punjab
209,Gagandeep Singh,4,0,37,1,9.25,10,5,1,0,0,2,335999,1,25,Kings XI Punjab
210,RP Singh,3.5,0,36,0,9.39,6,5,0,2,0,1,335999,1,0,Deccan Chargers
211,Nuwan Zoysa,4,0,32,1,8,10,4,1,0,0,1,335999,1,25,Deccan Chargers
212,Shahid Afridi,3,0,28,0,9.33,3,4,0,0,0,1,335999,1,0,Deccan Chargers
213,Sanjay Bangar,4,0,26,0,6.5,9,3,0,0,0,1,335999,1,0,Deccan Chargers
214,Doddapaneni Kalyankrishna,3,0,34,1,11.33,5,4,1,2,0,1,335999,1,25,Deccan Chargers
215,Venugopal Rao,1,0,9,0,9,1,1,0,0,0,1,335999,1,0,Deccan Chargers
216,Ashok Dinda,4,0,30,0,7.5,11,5,0,2,0,2,336000,1,0,Kolkata Knight Riders
217,Ishant Sharma,4,0,26,1,6.5,13,4,0,0,1,2,336000,1,25,Kolkata Knight Riders
218,Ajit Agarkar,4,0,46,1,11.5,6,4,3,0,0,2,336000,1,25,Kolkata Knight Riders
219,Umar Gul,4,0,31,3,7.75,8,1,1,1,2,2,336000,1,79,Kolkata Knight Riders
220,David Hussey,2,0,26,0,13,1,4,0,0,0,2,336000,1,-6,Kolkata Knight Riders
221,Sourav Ganguly,1,0,14,0,14,1,3,0,0,0,2,336000,1,0,Kolkata Knight Riders
222,Laxmi Shukla,1,0,16,1,16,1,1,1,0,1,2,336000,1,25,Kolkata Knight Riders
223,Shane Watson,3.1,0,22,2,6.95,11,2,1,2,0,1,336000,1,50,Rajasthan Royals
224,Sohail Tanvir,4,0,30,2,7.5,9,2,1,2,0,1,336000,1,50,Rajasthan Royals
225,Siddharth Trivedi,4,0,31,2,7.75,8,1,2,2,0,1,336000,1,50,Rajasthan Royals
226,Munaf Patel,4,0,29,0,7.25,7,1,1,0,0,1,336000,1,0,Rajasthan Royals
227,Shane Warne,2,0,20,1,10,2,1,1,1,0,1,336000,1,25,Rajasthan Royals
228,Yusuf Pathan,2,0,14,0,7,4,1,0,0,0,1,336000,1,0,Rajasthan Royals
229,Glenn McGrath,4,0,21,1,5.25,11,2,0,0,0,2,336001,1,25,Delhi Daredevils
230,Mohammad Asif,4,0,34,1,8.5,7,5,0,1,0,2,336001,1,25,Delhi Daredevils
231,Yo Mahesh,4,0,31,1,7.75,13,5,0,0,2,2,336001,1,25,Delhi Daredevils
232,Pradeep Sangwan,4,0,40,0,10,6,3,2,2,0,2,336001,1,0,Delhi Daredevils
233,Shoaib Malik,1,0,11,0,11,1,1,0,1,0,2,336001,1,0,Delhi Daredevils
234,Virender Sehwag,2,0,21,1,10.5,5,1,2,0,0,2,336001,1,25,Delhi Daredevils
235,Rajat Bhatia,1,0,11,1,11,1,0,1,0,0,2,336001,1,25,Delhi Daredevils
236,Makhaya Ntini,4,0,29,0,7.25,10,3,1,0,0,1,336001,1,0,Chennai Super Kings
237,Manpreet Gony,4,0,39,1,9.75,8,3,2,1,0,1,336001,1,25,Chennai Super Kings
238,Albie Morkel,4,0,40,0,10,7,6,0,1,0,1,336001,1,0,Chennai Super Kings
239,Joginder Sharma,3,0,35,1,11.67,4,2,2,0,1,1,336001,1,25,Chennai Super Kings
240,Muttiah Muralitharan,4,0,27,0,6.75,9,2,0,0,1,1,336001,1,0,Chennai Super Kings
241,Anil Kumble,4,0,33,1,8.25,12,2,2,1,0,2,336002,1,25,Bangalore Royal Challengers
242,Dale Steyn,4,0,19,2,4.75,13,2,0,1,0,2,336002,1,56,Bangalore Royal Challengers
243,Jacques Kallis,1.2,0,19,0,14.25,1,2,1,1,0,2,336002,1,0,Bangalore Royal Challengers
244,Virat Kohli,3.4,0,25,2,6.82,6,0,1,1,1,2,336002,1,50,Bangalore Royal Challengers
245,Vinay Kumar,4,0,27,3,6.75,17,4,1,0,1,2,336002,1,79,Bangalore Royal Challengers
246,Balachandra Akhil,3,0,39,0,13,5,5,2,0,0,2,336002,1,-6,Bangalore Royal Challengers
247,Chaminda Vaas,4,0,36,1,9,10,7,0,0,0,1,336002,1,25,Deccan Chargers
248,RP Singh,3,0,15,0,5,9,2,0,0,0,1,336002,1,0,Deccan Chargers
249,Sanjay Bangar,4,0,30,1,7.5,10,5,0,0,0,1,336002,1,25,Deccan Chargers
250,Paidikalva Vijaykumar,4,0,29,0,7.25,9,3,1,0,0,1,336002,1,0,Deccan Chargers
251,Venugopal Rao,1,0,18,0,18,0,2,1,0,0,1,336002,1,0,Deccan Chargers
252,Dwaraka Ravi Teja,2,0,19,1,9.5,3,0,2,0,0,1,336002,1,25,Deccan Chargers
253,Chamara Silva,1,0,21,0,21,0,0,3,0,0,1,336002,1,0,Deccan Chargers
254,Ishant Sharma,4,0,41,0,10.25,9,6,1,0,1,2,336003,1,0,Kolkata Knight Riders
255,Ajit Agarkar,3,0,26,0,8.67,5,4,0,1,0,2,336003,1,0,Kolkata Knight Riders
256,Ashok Dinda,3,0,24,1,8,12,4,1,1,0,2,336003,1,25,Kolkata Knight Riders
257,Mohammad Hafeez,3,0,28,1,9.33,5,3,1,0,0,2,336003,1,25,Kolkata Knight Riders
258,David Hussey,3,0,23,1,7.67,8,2,1,0,0,2,336003,1,25,Kolkata Knight Riders
259,Umar Gul,4,0,27,2,6.75,9,3,0,2,0,2,336003,1,50,Kolkata Knight Riders
260,Sreesanth,4,0,25,2,6.25,13,3,0,1,0,1,336003,1,50,Kings XI Punjab
261,Irfan Pathan,4,0,18,2,4.5,16,1,1,1,0,1,336003,1,56,Kings XI Punjab
262,Vikram Singh,4,0,31,1,7.75,6,3,0,0,0,1,336003,1,25,Kings XI Punjab
263,Gagandeep Singh,4,0,43,1,10.75,6,2,3,0,0,1,336003,1,25,Kings XI Punjab
264,James Hopes,3,0,35,0,11.67,4,0,3,0,0,1,336003,1,0,Kings XI Punjab
