Season,Team,Player
3,Royal Challengers Bangalore,Shreevats Goswami
3,Royal Challengers Bangalore,Jacques Kallis
3,Royal Challengers Bangalore,Virat Kohli
3,Royal Challengers Bangalore,Bhuvneshwar Kumar
3,Royal Challengers Bangalore,Praveen Kumar
3,Royal Challengers Bangalore,Abhimanyu Mithun
3,Royal Challengers Bangalore,Eoin Morgan
3,Royal Challengers Bangalore,Manish Pandey
3,Royal Challengers Bangalore,Kevin Pietersen
3,Royal Challengers Bangalore,Steven Smith
3,Royal Challengers Bangalore,Sridharan Sriram
3,Royal Challengers Bangalore,Dale Steyn
3,Royal Challengers Bangalore,Ross Taylor
3,Royal Challengers Bangalore,Robin Uthappa
3,Royal Challengers Bangalore,Roelof van der Merwe
3,Royal Challengers Bangalore,Vinay Kumar
3,Royal Challengers Bangalore,Cameron White
3,Chennai Super Kings,MS Dhoni
3,Chennai Super Kings,Arun Karthik
3,Chennai Super Kings,Ravichandran Ashwin
3,Chennai Super Kings,Hemang Badani
3,Chennai Super Kings,S Badrinath
3,Chennai Super Kings,George Bailey
3,Chennai Super Kings,Lakshmipathy Balaji
3,Chennai Super Kings,Doug Bollinger
3,Chennai Super Kings,Chandrasekar Ganapathy
3,Chennai Super Kings,Manpreet Gony
3,Chennai Super Kings,Matthew Hayden
3,Chennai Super Kings,Michael Hussey
3,Chennai Super Kings,Shadab Jakati
3,Chennai Super Kings,Justin Kemp
3,Chennai Super Kings,Albie Morkel
3,Chennai Super Kings,Muttiah Muralitharan
3,Chennai Super Kings,Makhaya Ntini
3,Chennai Super Kings,Parthiv Patel
3,Chennai Super Kings,Thisara Perera
3,Chennai Super Kings,Suresh Raina
3,Chennai Super Kings,Thilan Thushara
3,Chennai Super Kings,Sudeep Tyagi
3,Chennai Super Kings,Murali Vijay
3,Chennai Super Kings,Jacob Oram
3,Deccan Chargers,Adam Gilchrist
3,Deccan Chargers,Anirudh Singh
3,Deccan Chargers,Ashish Reddy
3,Deccan Chargers,Azhar Bilakhia
3,Deccan Chargers,Herschelle Gibbs
3,Deccan Chargers,Harmeet Singh
3,Deccan Chargers,Ryan Harris
3,Deccan Chargers,VVS Laxman
3,Deccan Chargers,Mitchell Marsh
3,Deccan Chargers,Mohnish  Mishra
3,Deccan Chargers,Pragyan Ojha
3,Deccan Chargers,Dwaraka Ravi Teja
3,Deccan Chargers,Kemar Roach
3,Deccan Chargers,Rahul Sharma
3,Deccan Chargers,Rohit Sharma
3,Deccan Chargers,RP Singh
3,Deccan Chargers,Dwayne Smith
3,Deccan Chargers,Tirumalasetti Suman
3,Deccan Chargers,Bodapati Sumanth
3,Deccan Chargers,Andrew Symonds
3,Deccan Chargers,Chaminda Vaas
3,Deccan Chargers,Venugopal Rao
3,Deccan Chargers,Arjun Yadav
3,Delhi Daredevils,Gautam Gambhir
3,Delhi Daredevils,Sarabjit Ladda
3,Delhi Daredevils,Rajat Bhatia
3,Delhi Daredevils,Paul Collingwood
3,Delhi Daredevils,AB de Villiers
3,Delhi Daredevils,Tillakaratne Dilshan
3,Delhi Daredevils,Moises Henriques
3,Delhi Daredevils,Kedar Jadhav
3,Delhi Daredevils,Joginder Singh
3,Delhi Daredevils,Dinesh Karthik
3,Delhi Daredevils,Andrew McDonald
3,Delhi Daredevils,Farveez Maharoof
3,Delhi Daredevils,Yo Mahesh
3,Delhi Daredevils,Mithun Manhas
3,Delhi Daredevils,Amit Mishra
3,Delhi Daredevils,Dirk Nannes
3,Delhi Daredevils,Ashish Nehra
3,Delhi Daredevils,Wayne Parnell
3,Delhi Daredevils,Shashi Ranjan
3,Delhi Daredevils,Aavishkar Salvi
3,Delhi Daredevils,Pradeep Sangwan
3,Delhi Daredevils,Sarandeep Singh
3,Delhi Daredevils,Virender Sehwag
3,Delhi Daredevils,David Warner
3,Delhi Daredevils,Umesh Yadav
3,Kings XI Punjab,Kumar Sangakkara
3,Kings XI Punjab,Yusuf Abdulla
3,Kings XI Punjab,Love Ablish
3,Kings XI Punjab,Amanpreet Singh
3,Kings XI Punjab,Adrian Barath
3,Kings XI Punjab,Bipul Sharma
3,Kings XI Punjab,Manvinder  Bisla
3,Kings XI Punjab,Ravi Bopara
3,Kings XI Punjab,Piyush Chawla
3,Kings XI Punjab,Karan Goel
3,Kings XI Punjab,James Hopes
3,Kings XI Punjab,Mahela Jayawardene
3,Kings XI Punjab,Mohammad Kaif
3,Kings XI Punjab,Brett Lee
3,Kings XI Punjab,Vikramjeet Malik
3,Kings XI Punjab,Shaun Marsh
3,Kings XI Punjab,Irfan Pathan
3,Kings XI Punjab,Ramesh Powar
3,Kings XI Punjab,Reetinder Sodhi
3,Kings XI Punjab,Sreesanth
3,Kings XI Punjab,Shalabh Srivastava
3,Kings XI Punjab,Tanmay Srivastava
3,Kings XI Punjab,Rusty Theron
3,Kings XI Punjab,Yuvraj Singh
3,Kolkata Knight Riders,Sourav Ganguly
3,Kolkata Knight Riders,Varun Aaron
3,Kolkata Knight Riders,Ajit Agarkar
3,Kolkata Knight Riders,Shane Bond
3,Kolkata Knight Riders,Ashok Dinda
3,Kolkata Knight Riders,Eklak Ahmid
3,Kolkata Knight Riders,Rohan Gavaskar
3,Kolkata Knight Riders,Chris Gayle
3,Kolkata Knight Riders,Brad Hodge
3,Kolkata Knight Riders,Iqbal Abdulla
3,Kolkata Knight Riders,Murali Kartik
3,Kolkata Knight Riders,Harshad Khadiwale
3,Kolkata Knight Riders,Charl Langeveldt
3,Kolkata Knight Riders,Brendon McCullum
3,Kolkata Knight Riders,Angelo Mathews
3,Kolkata Knight Riders,Ajantha Mendis
3,Kolkata Knight Riders,Chirag Pathak
3,Kolkata Knight Riders,Cheteshwar Pujara
3,Kolkata Knight Riders,Wriddhiman Saha
3,Kolkata Knight Riders,Owais Shah
3,Kolkata Knight Riders,Ishant Sharma
3,Kolkata Knight Riders,Laxmi Shukla
3,Kolkata Knight Riders,Manoj Tiwary
3,Kolkata Knight Riders,Ganapathi Vignesh
3,Mumbai Indians,Sachin Tendulkar
3,Mumbai Indians,Abu Nechim
3,Mumbai Indians,Dwayne Bravo
3,Mumbai Indians,Shikhar Dhawan
3,Mumbai Indians,Jean-Paul Duminy
3,Mumbai Indians,Dilhara Fernando
3,Mumbai Indians,Harbhajan Singh
3,Mumbai Indians,Sanath Jayasuriya
3,Mumbai Indians,Zaheer Khan
3,Mumbai Indians,Dhawal Kulkarni
3,Mumbai Indians,Ryan McLaren
3,Mumbai Indians,Chandan Madan
3,Mumbai Indians,Ishan Malhotra
3,Mumbai Indians,Lasith Malinga
3,Mumbai Indians,Ali Murtaza
3,Mumbai Indians,Graham Napier
3,Mumbai Indians,Abhishek Nayar
3,Mumbai Indians,Kieron Pollard
3,Mumbai Indians,Ambati Rayudu
3,Mumbai Indians,Rajagopal Sathish
3,Mumbai Indians,Syed Shahabuddin
3,Mumbai Indians,Rahul Shukla
3,Mumbai Indians,Aditya Tare
3,Mumbai Indians,Saurabh Tiwary
3,Rajasthan Royals,Shane Warne
3,Rajasthan Royals,Swapnil Asnodkar
3,Rajasthan Royals,Johan Botha
3,Rajasthan Royals,Faiz Fazal
3,Rajasthan Royals,Aaron Finch
3,Rajasthan Royals,Abhishek Jhunjhunwala
3,Rajasthan Royals,Kamran Khan
3,Rajasthan Royals,Michael Lumb
3,Rajasthan Royals,Morne Morkel
3,Rajasthan Royals,Sumit Narwal
3,Rajasthan Royals,Naman Ojha
3,Rajasthan Royals,Munaf Patel
3,Rajasthan Royals,Yusuf Pathan
3,Rajasthan Royals,Amit Paunikar
3,Rajasthan Royals,Syed Quadri
3,Rajasthan Royals,Abhishek Raut
3,Rajasthan Royals,Amit Singh
3,Rajasthan Royals,Shaun Tait
3,Rajasthan Royals,Siddharth Trivedi
3,Rajasthan Royals,Amit Uniyal
3,Rajasthan Royals,Adam Voges
3,Rajasthan Royals,Shrikant Wagh
3,Rajasthan Royals,Damien Martyn
3,Rajasthan Royals,Dimitri Mascarenhas
3,Rajasthan Royals,Graeme Smith
4,Royal Challengers Bangalore,Daniel Vettori
4,Royal Challengers Bangalore,Mayank Agarwal
4,Royal Challengers Bangalore,Sreenath Aravind
4,Royal Challengers Bangalore,Arun Karthik
4,Royal Challengers Bangalore,BN Bharath
4,Royal Challengers Bangalore,Raju Bhatkal
