Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
Yusuf Pathan,2,0,17,0,8.5,5,2,0,1,0,2,392182,2,0,Rajasthan Royals,Royal Challengers Bangalore,"Newlands, Cape Town",Royal Challengers Bangalore,bat
Praveen Kumar,3,0,7,2,2.33,15,0,0,2,1,1,392182,2,56,Royal Challengers Bangalore,Rajasthan Royals,"Newlands, Cape Town",Royal Challengers Bangalore,bat
Dale Steyn,2,0,6,0,3,9,0,0,3,0,1,392182,2,6,Royal Challengers Bangalore,Rajasthan Royals,"Newlands, Cape Town",Royal Challengers Bangalore,bat
Vinay Kumar,3,0,25,0,8.33,8,1,2,1,0,1,392182,2,0,Royal Challengers Bangalore,Rajasthan Royals,"Newlands, Cape Town",Royal Challengers Bangalore,bat
Jesse Ryder,4,0,14,2,3.5,14,0,0,1,0,1,392182,2,56,Royal Challengers Bangalore,Rajasthan Royals,"Newlands, Cape Town",Royal Challengers Bangalore,bat
Anil Kumble,3.1,1,5,5,1.58,14,0,0,0,0,1,392182,2,159,Royal Challengers Bangalore,Rajasthan Royals,"Newlands, Cape Town",Royal Challengers Bangalore,bat
Dirk Nannes,3,0,24,0,8,9,2,1,3,0,2,392183,2,0,Delhi Capitals,Punjab Kings,"Newlands, Cape Town",Delhi Capitals,field
Aavishkar Salvi,2,0,17,1,8.5,4,2,0,0,0,2,392183,2,25,Delhi Capitals,Punjab Kings,"Newlands, Cape Town",Delhi Capitals,field
Pradeep Sangwan,2,0,19,0,9.5,5,0,2,0,0,2,392183,2,0,Delhi Capitals,Punjab Kings,"Newlands, Cape Town",Delhi Capitals,field
Yo Mahesh,2,0,25,1,12.5,3,0,3,1,0,2,392183,2,19,Delhi Capitals,Punjab Kings,"Newlands, Cape Town",Delhi Capitals,field
Daniel Vettori,3,0,15,3,5,11,1,1,0,0,2,392183,2,79,Delhi Capitals,Punjab Kings,"Newlands, Cape Town",Delhi Capitals,field
Irfan Pathan,1,0,9,0,9,4,2,0,1,0,1,392183,2,0,Punjab Kings,Delhi Capitals,"Newlands, Cape Town",Delhi Capitals,field
Yusuf Abdulla,1,0,19,0,19,2,3,1,1,0,1,392183,2,0,Punjab Kings,Delhi Capitals,"Newlands, Cape Town",Delhi Capitals,field
Vikramjeet Malik,1,0,11,0,11,3,1,1,0,0,1,392183,2,0,Punjab Kings,Delhi Capitals,"Newlands, Cape Town",Delhi Capitals,field
Vikram Singh,1,0,5,0,5,2,0,0,0,0,1,392183,2,0,Punjab Kings,Delhi Capitals,"Newlands, Cape Town",Delhi Capitals,field
Piyush Chawla,0.5,0,12,0,14.4,0,0,1,1,0,1,392183,2,0,Punjab Kings,Delhi Capitals,"Newlands, Cape Town",Delhi Capitals,field
Fidel Edwards,4,1,6,0,1.5,19,0,0,0,0,2,392184,2,18,Deccan Chargers,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,bat
RP Singh,3.4,0,22,4,6,14,1,2,0,0,2,392184,2,108,Deccan Chargers,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,bat
Harmeet Singh,4,0,23,1,5.75,11,1,1,1,0,2,392184,2,25,Deccan Chargers,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,bat
Pragyan Ojha,4,0,14,2,3.5,13,0,0,0,0,2,392184,2,56,Deccan Chargers,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,bat
Scott Styris,4,0,32,2,8,12,5,1,0,0,2,392184,2,50,Deccan Chargers,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,bat
Ashok Dinda,3,0,24,1,8,9,4,0,0,0,1,392184,2,25,Kolkata Knight Riders,Deccan Chargers,"Newlands, Cape Town",Kolkata Knight Riders,bat
Ishant Sharma,3,0,13,0,4.33,13,1,1,0,0,1,392184,2,6,Kolkata Knight Riders,Deccan Chargers,"Newlands, Cape Town",Kolkata Knight Riders,bat
Murali Kartik,4,0,23,0,5.75,11,1,1,0,0,1,392184,2,0,Kolkata Knight Riders,Deccan Chargers,"Newlands, Cape Town",Kolkata Knight Riders,bat
Sourav Ganguly,1,0,8,0,8,1,1,0,0,0,1,392184,2,0,Kolkata Knight Riders,Deccan Chargers,"Newlands, Cape Town",Kolkata Knight Riders,bat
Ajit Agarkar,1,0,17,0,17,1,2,1,1,0,1,392184,2,0,Kolkata Knight Riders,Deccan Chargers,"Newlands, Cape Town",Kolkata Knight Riders,bat
Chris Gayle,1,0,14,0,14,2,1,1,0,0,1,392184,2,0,Kolkata Knight Riders,Deccan Chargers,"Newlands, Cape Town",Kolkata Knight Riders,bat
Moises Henriques,0.1,0,4,0,24,0,1,0,0,0,1,392184,2,0,Kolkata Knight Riders,Deccan Chargers,"Newlands, Cape Town",Kolkata Knight Riders,bat
Praveen Kumar,4,0,37,2,9.25,8,3,2,0,0,2,392185,2,50,Royal Challengers Bangalore,Chennai Super Kings,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Dale Steyn,4,0,35,1,8.75,9,2,2,2,0,2,392185,2,25,Royal Challengers Bangalore,Chennai Super Kings,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Jacques Kallis,2,0,28,0,14,1,4,1,0,0,2,392185,2,-6,Royal Challengers Bangalore,Chennai Super Kings,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Vinay Kumar,1,0,12,0,12,1,2,0,0,0,2,392185,2,0,Royal Challengers Bangalore,Chennai Super Kings,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Virat Kohli,1,0,9,0,9,3,2,0,0,0,2,392185,2,0,Royal Challengers Bangalore,Chennai Super Kings,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Anil Kumble,4,0,26,0,6.5,7,1,0,1,0,2,392185,2,0,Royal Challengers Bangalore,Chennai Super Kings,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Kevin Pietersen,3,0,14,1,4.67,7,1,0,0,0,2,392185,2,31,Royal Challengers Bangalore,Chennai Super Kings,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Ross Taylor,1,0,13,0,13,0,0,1,1,0,2,392185,2,0,Royal Challengers Bangalore,Chennai Super Kings,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Manpreet Gony,3,0,24,1,8,8,4,0,2,0,1,392185,2,25,Chennai Super Kings,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Lakshmipathy Balaji,2.2,0,18,2,7.71,6,3,0,0,0,1,392185,2,50,Chennai Super Kings,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Albie Morkel,2,0,12,1,6,7,1,0,1,0,1,392185,2,25,Chennai Super Kings,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Andrew Flintoff,3,0,11,1,3.67,10,1,0,0,0,1,392185,2,31,Chennai Super Kings,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Muttiah Muralitharan,4,1,11,3,2.75,16,0,0,0,0,1,392185,2,97,Chennai Super Kings,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Joginder Sharma,1,0,10,1,10,2,0,1,1,0,1,392185,2,25,Chennai Super Kings,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Chennai Super Kings,bat
Ishant Sharma,4,0,24,1,6,13,2,1,0,0,2,392186,2,25,Kolkata Knight Riders,Punjab Kings,"Kingsmead, Durban",Kolkata Knight Riders,field
Ashok Dinda,4,0,34,1,8.5,10,4,1,1,0,2,392186,2,25,Kolkata Knight Riders,Punjab Kings,"Kingsmead, Durban",Kolkata Knight Riders,field
Moises Henriques,4,0,32,1,8,9,5,0,1,0,2,392186,2,25,Kolkata Knight Riders,Punjab Kings,"Kingsmead, Durban",Kolkata Knight Riders,field
Sourav Ganguly,4,0,24,2,6,9,1,1,0,0,2,392186,2,50,Kolkata Knight Riders,Punjab Kings,"Kingsmead, Durban",Kolkata Knight Riders,field
Laxmi Shukla,2,0,22,0,11,4,2,1,2,0,2,392186,2,0,Kolkata Knight Riders,Punjab Kings,"Kingsmead, Durban",Kolkata Knight Riders,field
Chris Gayle,1,0,14,0,14,0,0,0,3,0,2,392186,2,0,Kolkata Knight Riders,Punjab Kings,"Kingsmead, Durban",Kolkata Knight Riders,field
Murali Kartik,1,0,7,0,7,2,1,0,0,0,2,392186,2,0,Kolkata Knight Riders,Punjab Kings,"Kingsmead, Durban",Kolkata Knight Riders,field
Irfan Pathan,3,0,27,0,9,9,2,2,2,0,1,392186,2,0,Punjab Kings,Kolkata Knight Riders,"Kingsmead, Durban",Kolkata Knight Riders,field
Yusuf Abdulla,2,0,20,0,10,5,0,2,2,0,1,392186,2,0,Punjab Kings,Kolkata Knight Riders,"Kingsmead, Durban",Kolkata Knight Riders,field
Vikramjeet Malik,2,0,23,1,11.5,5,1,2,0,0,1,392186,2,25,Punjab Kings,Kolkata Knight Riders,"Kingsmead, Durban",Kolkata Knight Riders,field
Piyush Chawla,2,0,8,0,4,6,0,0,0,0,1,392186,2,6,Punjab Kings,Kolkata Knight Riders,"Kingsmead, Durban",Kolkata Knight Riders,field
Ravi Bopara,0.2,0,1,0,3,1,0,0,0,0,1,392186,2,0,Punjab Kings,Kolkata Knight Riders,"Kingsmead, Durban",Kolkata Knight Riders,field
Praveen Kumar,4,0,37,1,9.25,9,4,1,0,0,2,392188,2,25,Royal Challengers Bangalore,Deccan Chargers,"Newlands, Cape Town",Deccan Chargers,bat
Dale Steyn,3,0,21,1,7,9,2,1,0,0,2,392188,2,25,Royal Challengers Bangalore,Deccan Chargers,"Newlands, Cape Town",Deccan Chargers,bat
Jacques Kallis,2,0,19,0,9.5,4,2,1,0,0,2,392188,2,0,Royal Challengers Bangalore,Deccan Chargers,"Newlands, Cape Town",Deccan Chargers,bat
Anil Kumble,4,0,39,0,9.75,6,0,4,0,0,2,392188,2,0,Royal Challengers Bangalore,Deccan Chargers,"Newlands, Cape Town",Deccan Chargers,bat
Jesse Ryder,3,0,29,1,9.67,8,1,3,1,0,2,392188,2,25,Royal Challengers Bangalore,Deccan Chargers,"Newlands, Cape Town",Deccan Chargers,bat
Kevin Pietersen,4,0,31,2,7.75,8,0,2,0,0,2,392188,2,50,Royal Challengers Bangalore,Deccan Chargers,"Newlands, Cape Town",Deccan Chargers,bat
Fidel Edwards,4,0,39,1,9.75,10,6,1,1,0,1,392188,2,25,Deccan Chargers,Royal Challengers Bangalore,"Newlands, Cape Town",Deccan Chargers,bat
RP Singh,4,0,17,2,4.25,13,2,0,0,0,1,392188,2,56,Deccan Chargers,Royal Challengers Bangalore,"Newlands, Cape Town",Deccan Chargers,bat
Harmeet Singh,4,0,44,0,11,7,3,2,4,0,1,392188,2,0,Deccan Chargers,Royal Challengers Bangalore,"Newlands, Cape Town",Deccan Chargers,bat
Pragyan Ojha,4,0,27,1,6.75,10,3,0,0,0,1,392188,2,25,Deccan Chargers,Royal Challengers Bangalore,"Newlands, Cape Town",Deccan Chargers,bat
Scott Styris,4,0,32,3,8,9,3,1,1,0,1,392188,2,79,Deccan Chargers,Royal Challengers Bangalore,"Newlands, Cape Town",Deccan Chargers,bat
Lakshmipathy Balaji,4,0,19,3,4.75,12,1,0,1,0,2,392189,2,85,Chennai Super Kings,Delhi Capitals,"Kingsmead, Durban",Delhi Capitals,bat
Manpreet Gony,4,0,45,1,11.25,7,3,3,0,0,2,392189,2,25,Chennai Super Kings,Delhi Capitals,"Kingsmead, Durban",Delhi Capitals,bat
Albie Morkel,4,0,41,1,10.25,7,6,1,0,0,2,392189,2,25,Chennai Super Kings,Delhi Capitals,"Kingsmead, Durban",Delhi Capitals,bat
Andrew Flintoff,4,0,50,0,12.5,5,3,4,0,0,2,392189,2,-6,Chennai Super Kings,Delhi Capitals,"Kingsmead, Durban",Delhi Capitals,bat
Joginder Sharma,1,0,8,0,8,1,1,0,0,0,2,392189,2,0,Chennai Super Kings,Delhi Capitals,"Kingsmead, Durban",Delhi Capitals,bat
Muttiah Muralitharan,3,0,26,0,8.67,3,2,0,0,0,2,392189,2,0,Chennai Super Kings,Delhi Capitals,"Kingsmead, Durban",Delhi Capitals,bat
Dirk Nannes,4,0,32,0,8,9,4,0,0,0,1,392189,2,0,Delhi Capitals,Chennai Super Kings,"Kingsmead, Durban",Delhi Capitals,bat
Ashish Nehra,4,0,33,1,8.25,6,4,0,1,0,1,392189,2,25,Delhi Capitals,Chennai Super Kings,"Kingsmead, Durban",Delhi Capitals,bat
Aavishkar Salvi,3,0,41,0,13.67,1,1,3,1,0,1,392189,2,-6,Delhi Capitals,Chennai Super Kings,"Kingsmead, Durban",Delhi Capitals,bat
Pradeep Sangwan,4,0,28,3,7,8,2,0,2,1,1,392189,2,79,Delhi Capitals,Chennai Super Kings,"Kingsmead, Durban",Delhi Capitals,bat
Daniel Vettori,4,0,29,2,7.25,10,3,1,0,0,1,392189,2,50,Delhi Capitals,Chennai Super Kings,"Kingsmead, Durban",Delhi Capitals,bat
Manoj Tiwary,1,0,11,0,11,0,0,1,0,0,1,392189,2,0,Delhi Capitals,Chennai Super Kings,"Kingsmead, Durban",Delhi Capitals,bat
Ishant Sharma,4,0,36,2,9,12,4,2,0,0,2,392190,2,50,Kolkata Knight Riders,Rajasthan Royals,"Newlands, Cape Town",Kolkata Knight Riders,field
Anureet Singh,4,0,35,2,8.75,14,2,3,2,0,2,392190,2,50,Kolkata Knight Riders,Rajasthan Royals,"Newlands, Cape Town",Kolkata Knight Riders,field
Ajit Agarkar,1,0,14,0,14,2,3,0,1,0,2,392190,2,0,Kolkata Knight Riders,Rajasthan Royals,"Newlands, Cape Town",Kolkata Knight Riders,field
Ajantha Mendis,4,0,19,2,4.75,10,1,0,1,0,2,392190,2,56,Kolkata Knight Riders,Rajasthan Royals,"Newlands, Cape Town",Kolkata Knight Riders,field
Sourav Ganguly,3,0,23,0,7.67,3,1,0,0,0,2,392190,2,0,Kolkata Knight Riders,Rajasthan Royals,"Newlands, Cape Town",Kolkata Knight Riders,field
Chris Gayle,4,0,20,0,5,7,0,0,2,0,2,392190,2,0,Kolkata Knight Riders,Rajasthan Royals,"Newlands, Cape Town",Kolkata Knight Riders,field
Yusuf Pathan,4,0,27,0,6.75,13,2,1,4,0,1,392190,2,0,Rajasthan Royals,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,field
Dimitri Mascarenhas,4,1,29,1,7.25,15,1,3,0,0,1,392190,2,37,Rajasthan Royals,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,field
Shane Warne,4,0,25,2,6.25,9,2,0,2,0,1,392190,2,50,Rajasthan Royals,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,field
Kamran Khan,4,0,18,3,4.5,12,1,0,3,0,1,392190,2,85,Rajasthan Royals,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,field
Munaf Patel,3,0,36,1,12,5,3,2,0,1,1,392190,2,19,Rajasthan Royals,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,field
Ravindra Jadeja,1,0,7,0,7,2,1,0,0,0,1,392190,2,0,Rajasthan Royals,Kolkata Knight Riders,"Newlands, Cape Town",Kolkata Knight Riders,field
Ranadeb Bose,2,0,24,0,12,5,5,0,0,0,2,392191,2,-6,Punjab Kings,Royal Challengers Bangalore,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Irfan Pathan,4,0,35,3,8.75,10,4,1,0,0,2,392191,2,79,Punjab Kings,Royal Challengers Bangalore,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Yusuf Abdulla,4,0,31,4,7.75,11,1,2,3,0,2,392191,2,108,Punjab Kings,Royal Challengers Bangalore,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Piyush Chawla,4,0,19,1,4.75,12,0,1,0,0,2,392191,2,31,Punjab Kings,Royal Challengers Bangalore,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Yuvraj Singh,3,0,28,0,9.33,5,2,1,0,0,2,392191,2,0,Punjab Kings,Royal Challengers Bangalore,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Ravi Bopara,1,0,4,0,4,2,0,0,0,0,2,392191,2,0,Punjab Kings,Royal Challengers Bangalore,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Vikram Singh,2,0,22,1,11,3,4,0,0,0,2,392191,2,25,Punjab Kings,Royal Challengers Bangalore,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Praveen Kumar,4,0,36,0,9,6,2,2,1,0,1,392191,2,0,Royal Challengers Bangalore,Punjab Kings,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Pankaj Singh,2,0,20,0,10,2,2,0,2,0,1,392191,2,0,Royal Challengers Bangalore,Punjab Kings,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Jacques Kallis,4,0,51,1,12.75,3,4,2,2,0,1,392191,2,19,Royal Challengers Bangalore,Punjab Kings,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Vinay Kumar,1,0,4,0,4,2,0,0,0,0,1,392191,2,0,Royal Challengers Bangalore,Punjab Kings,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Kevin Pietersen,2,0,16,0,8,4,1,1,0,0,1,392191,2,0,Royal Challengers Bangalore,Punjab Kings,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Anil Kumble,4,0,19,1,4.75,7,0,0,0,0,1,392191,2,31,Royal Challengers Bangalore,Punjab Kings,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Jesse Ryder,2,0,23,0,11.5,3,1,2,0,0,1,392191,2,0,Royal Challengers Bangalore,Punjab Kings,"Kingsmead, Durban",Royal Challengers Bangalore,bat
Lasith Malinga,4,1,19,3,4.75,16,1,1,1,0,2,392192,2,97,Mumbai Indians,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,bat
Zaheer Khan,4,0,32,0,8,7,3,1,1,0,2,392192,2,0,Mumbai Indians,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,bat
Dwayne Bravo,4,0,34,3,8.5,9,4,1,1,0,2,392192,2,79,Mumbai Indians,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,bat
Harbhajan Singh,4,0,27,1,6.75,7,2,0,1,0,2,392192,2,25,Mumbai Indians,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,bat
Sanath Jayasuriya,3,0,29,1,9.67,5,1,2,1,0,2,392192,2,25,Mumbai Indians,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,bat
Dhawal Kulkarni,1,0,18,0,18,1,1,2,0,0,2,392192,2,0,Mumbai Indians,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,bat
Fidel Edwards,4,0,27,2,6.75,10,3,0,4,0,1,392192,2,50,Deccan Chargers,Mumbai Indians,"Kingsmead, Durban",Deccan Chargers,bat
RP Singh,4,0,27,2,6.75,14,1,2,1,1,1,392192,2,50,Deccan Chargers,Mumbai Indians,"Kingsmead, Durban",Deccan Chargers,bat
Harmeet Singh,1,0,19,0,19,1,3,1,0,0,1,392192,2,0,Deccan Chargers,Mumbai Indians,"Kingsmead, Durban",Deccan Chargers,bat
Dwayne Smith,2,0,15,0,7.5,4,2,0,0,0,1,392192,2,0,Deccan Chargers,Mumbai Indians,"Kingsmead, Durban",Deccan Chargers,bat
Pragyan Ojha,4,0,21,3,5.25,10,0,1,1,0,1,392192,2,79,Deccan Chargers,Mumbai Indians,"Kingsmead, Durban",Deccan Chargers,bat
Rohit Sharma,1,0,8,0,8,3,0,1,0,0,1,392192,2,0,Deccan Chargers,Mumbai Indians,"Kingsmead, Durban",Deccan Chargers,bat
Venugopal Rao,4,0,33,0,8.25,6,1,2,0,0,1,392192,2,0,Deccan Chargers,Mumbai Indians,"Kingsmead, Durban",Deccan Chargers,bat
Dirk Nannes,4,0,24,1,6,11,1,0,1,0,2,392194,2,25,Delhi Capitals,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
Ashish Nehra,4,0,34,2,8.5,10,2,2,1,1,2,392194,2,50,Delhi Capitals,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
Pradeep Sangwan,4,0,32,1,8,10,2,2,1,0,2,392194,2,25,Delhi Capitals,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
Amit Mishra,4,0,19,1,4.75,9,0,0,2,0,2,392194,2,31,Delhi Capitals,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
Daniel Vettori,4,0,35,1,8.75,7,3,1,0,0,2,392194,2,25,Delhi Capitals,Royal Challengers Bangalore,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
Vinay Kumar,3.2,0,28,0,8.4,5,2,1,0,0,1,392194,2,0,Royal Challengers Bangalore,Delhi Capitals,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
Pankaj Singh,4,0,31,2,7.75,7,1,1,1,0,1,392194,2,50,Royal Challengers Bangalore,Delhi Capitals,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
Jacques Kallis,3,0,37,0,12.33,6,3,2,3,0,1,392194,2,-6,Royal Challengers Bangalore,Delhi Capitals,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
Anil Kumble,4,0,22,0,5.5,7,1,0,0,0,1,392194,2,0,Royal Challengers Bangalore,Delhi Capitals,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
KP Appanna,4,0,24,1,6,8,2,0,0,0,1,392194,2,25,Royal Challengers Bangalore,Delhi Capitals,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
Balachandra Akhil,1,0,8,1,8,2,1,0,0,0,1,392194,2,25,Royal Challengers Bangalore,Delhi Capitals,"St George's Park, Port Elizabeth",Royal Challengers Bangalore,bat
Kamran Khan,4,0,15,2,3.75,18,2,0,3,0,2,392195,2,56,Rajasthan Royals,Punjab Kings,"Newlands, Cape Town",Punjab Kings,bat
Dimitri Mascarenhas,4,0,29,0,7.25,8,4,0,0,0,2,392195,2,0,Rajasthan Royals,Punjab Kings,"Newlands, Cape Town",Punjab Kings,bat
Munaf Patel,4,0,24,2,6,13,2,0,1,0,2,392195,2,50,Rajasthan Royals,Punjab Kings,"Newlands, Cape Town",Punjab Kings,bat
Yusuf Pathan,4,0,30,0,7.5,8,1,1,4,0,2,392195,2,0,Rajasthan Royals,Punjab Kings,"Newlands, Cape Town",Punjab Kings,bat
Shane Warne,4,0,37,0,9.25,7,3,2,0,0,2,392195,2,0,Rajasthan Royals,Punjab Kings,"Newlands, Cape Town",Punjab Kings,bat
Ramesh Powar,2,0,10,0,5,3,0,0,1,0,1,392195,2,0,Punjab Kings,Rajasthan Royals,"Newlands, Cape Town",Punjab Kings,bat
Irfan Pathan,4,0,26,2,6.5,12,3,0,3,0,1,392195,2,50,Punjab Kings,Rajasthan Royals,"Newlands, Cape Town",Punjab Kings,bat
Yusuf Abdulla,4,0,21,3,5.25,14,3,0,1,0,1,392195,2,79,Punjab Kings,Rajasthan Royals,"Newlands, Cape Town",Punjab Kings,bat
Vikram Singh,4,0,19,0,4.75,9,1,0,0,0,1,392195,2,6,Punjab Kings,Rajasthan Royals,"Newlands, Cape Town",Punjab Kings,bat
Piyush Chawla,4,0,22,2,5.5,10,2,0,0,0,1,392195,2,50,Punjab Kings,Rajasthan Royals,"Newlands, Cape Town",Punjab Kings,bat
Yuvraj Singh,2,0,9,0,4.5,6,0,0,0,0,1,392195,2,6,Punjab Kings,Rajasthan Royals,"Newlands, Cape Town",Punjab Kings,bat
Fidel Edwards,4,0,21,1,5.25,15,3,0,0,0,2,392196,2,25,Deccan Chargers,Chennai Super Kings,"Kingsmead, Durban",Deccan Chargers,field
RP Singh,3,0,32,1,10.67,9,4,1,2,3,2,392196,2,25,Deccan Chargers,Chennai Super Kings,"Kingsmead, Durban",Deccan Chargers,field
Dwayne Smith,1,0,17,0,17,0,2,1,0,0,2,392196,2,0,Deccan Chargers,Chennai Super Kings,"Kingsmead, Durban",Deccan Chargers,field
Venugopal Rao,4,0,35,1,8.75,6,2,2,1,0,2,392196,2,25,Deccan Chargers,Chennai Super Kings,"Kingsmead, Durban",Deccan Chargers,field
Rohit Sharma,3,0,18,1,6,6,2,0,0,0,2,392196,2,25,Deccan Chargers,Chennai Super Kings,"Kingsmead, Durban",Deccan Chargers,field
Pragyan Ojha,2,0,11,2,5.5,4,1,0,0,0,2,392196,2,50,Deccan Chargers,Chennai Super Kings,"Kingsmead, Durban",Deccan Chargers,field
Shoaib Ahmed,3,0,31,0,10.33,5,2,2,1,0,2,392196,2,0,Deccan Chargers,Chennai Super Kings,"Kingsmead, Durban",Deccan Chargers,field
Lakshmipathy Balaji,3.3,0,41,1,11.71,9,4,3,1,0,1,392196,2,25,Chennai Super Kings,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,field
Manpreet Gony,1,0,20,0,20,1,3,1,1,0,1,392196,2,0,Chennai Super Kings,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,field
Albie Morkel,3,0,29,0,9.67,4,1,1,0,1,1,392196,2,0,Chennai Super Kings,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,field
Muttiah Muralitharan,4,0,17,1,4.25,11,1,0,1,0,1,392196,2,31,Chennai Super Kings,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,field
Suresh Raina,4,0,18,2,4.5,10,1,0,0,0,1,392196,2,56,Chennai Super Kings,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,field
Joginder Sharma,1,0,14,0,14,0,1,1,0,0,1,392196,2,0,Chennai Super Kings,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,field
Jacob Oram,3,0,28,0,9.33,4,2,1,0,0,1,392196,2,0,Chennai Super Kings,Deccan Chargers,"Kingsmead, Durban",Deccan Chargers,field
Ishant Sharma,4,0,29,1,7.25,16,2,1,2,0,2,392197,2,25,Kolkata Knight Riders,Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians,bat
Ashok Dinda,2,0,24,0,12,5,3,1,1,0,2,392197,2,-6,Kolkata Knight Riders,Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians,bat
Sourav Ganguly,1,0,16,0,16,2,0,2,1,0,2,392197,2,0,Kolkata Knight Riders,Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians,bat
Ajantha Mendis,4,0,39,0,9.75,4,0,3,0,0,2,392197,2,0,Kolkata Knight Riders,Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians,bat
Chris Gayle,2,0,24,0,12,0,1,1,0,0,2,392197,2,-6,Kolkata Knight Riders,Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians,bat
Brad Hodge,3,0,29,1,9.67,4,1,2,0,0,2,392197,2,25,Kolkata Knight Riders,Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians,bat
Laxmi Shukla,4,0,25,3,6.25,12,4,0,0,0,2,392197,2,79,Kolkata Knight Riders,Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians,bat
Zaheer Khan,3,0,14,1,4.67,10,1,0,0,0,1,392197,2,31,Mumbai Indians,Kolkata Knight Riders,"St George's Park, Port Elizabeth",Mumbai Indians,bat
Lasith Malinga,2.2,0,11,3,4.71,9,1,0,1,1,1,392197,2,85,Mumbai Indians,Kolkata Knight Riders,"St George's Park, Port Elizabeth",Mumbai Indians,bat
