Player,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Match_Location,Toss_Winner,Choose_to
Siddharth Trivedi,3,0,32,0,10.67,6,5,0,3,0,1,335984,1,0,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
Shane Warne,2,0,16,0,8,2,2,0,0,0,1,335984,1,0,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
Yusuf Pathan,2.1,0,17,0,7.85,4,2,0,1,0,1,335984,1,0,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
Dinesh Salunkhe,1,0,11,0,11,0,0,0,1,0,1,335984,1,0,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,bat
Praveen Kumar,4,0,29,1,7.25,11,3,1,1,0,2,335985,1,25,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Zaheer Khan,4,0,17,2,4.25,14,2,0,0,0,2,335985,1,56,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Jacques Kallis,3,0,43,0,14.33,3,7,1,2,0,2,335985,1,-6,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Vinay Kumar,4,0,41,0,10.25,9,3,3,0,0,2,335985,1,0,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Balachandra Akhil,3,0,17,2,5.67,8,2,0,0,0,2,335985,1,50,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Sunil Joshi,2,0,10,0,5,5,1,0,0,0,2,335985,1,0,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Ashish Nehra,4,0,45,1,11.25,7,5,2,2,0,1,335985,1,25,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Shaun Pollock,4,0,17,0,4.25,10,1,0,0,0,1,335985,1,6,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Dhawal Kulkarni,2.4,0,19,1,7.13,8,3,0,2,0,1,335985,1,25,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Sanath Jayasuriya,4,0,39,1,9.75,3,2,2,0,0,1,335985,1,25,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Harbhajan Singh,4,0,36,2,9,6,2,2,1,0,1,335985,1,50,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Abhishek Nayar,1,0,10,0,10,2,2,0,0,0,1,335985,1,0,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat
Ashok Dinda,3,0,18,1,6,9,1,0,0,1,2,335986,1,25,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
Ishant Sharma,3,1,9,1,3,13,0,0,3,0,2,335986,1,43,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
Ajit Agarkar,2,0,19,2,9.5,6,1,2,0,0,2,335986,1,50,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
Murali Kartik,3.4,0,17,3,4.64,14,3,0,0,0,2,335986,1,85,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
Mohammad Hafeez,4,0,8,1,2,17,0,0,0,1,2,335986,1,31,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
David Hussey,3,0,35,1,11.67,7,1,4,1,0,2,335986,1,25,Kolkata Knight Riders,Deccan Chargers,"Eden Gardens, Kolkata",Deccan Chargers,bat
Chaminda Vaas,3,0,9,2,3,12,1,0,0,0,1,335986,1,56,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
RP Singh,3,0,15,1,5,10,2,0,0,0,1,335986,1,25,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
Scott Styris,4,0,19,0,4.75,15,1,1,1,0,1,335986,1,6,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
Sanjay Bangar,3,0,19,0,6.33,13,1,1,2,0,1,335986,1,0,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
Andrew Symonds,2,0,20,0,10,4,0,1,2,1,1,335986,1,0,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
Pragyan Ojha,4,0,18,2,4.5,13,0,1,2,0,1,335986,1,56,Deccan Chargers,Kolkata Knight Riders,"Eden Gardens, Kolkata",Deccan Chargers,bat
Munaf Patel,4,0,36,1,9,12,4,2,0,0,2,335987,1,25,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Shane Watson,4,0,39,0,9.75,12,8,0,0,1,2,335987,1,0,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
Siddharth Trivedi,4,0,25,2,6.25,12,2,1,0,0,2,335987,1,50,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat
