Name,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points
Praveen Kumar,4,0,38,0,9.5,13,3,3,1,0,2,335982,1,0
Zaheer Khan,4,0,38,1,9.5,8,3,2,0,0,2,335982,1,25
Ashley Noffke,4,0,40,1,10,7,2,2,1,0,2,335982,1,25
Jacques Kallis,4,0,48,1,12,9,5,3,1,0,2,335982,1,19
Sunil Joshi,3,0,26,0,8.67,4,0,2,0,0,2,335982,1,0
Cameron White,1,0,24,0,24,0,2,2,1,0,2,335982,1,0
Ashok Dinda,3,0,9,2,3,11,0,0,2,0,1,335982,1,56
Ishant Sharma,3,0,7,1,2.33,13,0,0,1,0,1,335982,1,31
Ajit Agarkar,4,0,25,3,6.25,15,2,1,4,0,1,335982,1,79
Sourav Ganguly,4,0,21,2,5.25,13,1,1,1,0,1,335982,1,50
Laxmi Shukla,1.1,0,12,1,10.29,3,0,1,2,0,1,335982,1,25
Brett Lee,4,0,35,1,8.75,12,5,1,0,1,2,335983,1,25
Sreesanth,3,0,35,0,11.67,5,5,1,1,0,2,335983,1,0
James Hopes,4,0,53,1,13.25,8,2,6,0,0,2,335983,1,19
Irfan Pathan,4,0,47,2,11.75,6,4,3,0,0,2,335983,1,50
Karan Goel,2,0,25,0,12.5,2,1,2,0,0,2,335983,1,-6
Piyush Chawla,1,0,19,0,19,1,1,2,0,0,2,335983,1,0
Wilkin Mota,2,0,24,1,12,2,2,1,2,0,2,335983,1,19
Jacob Oram,4,0,37,0,9.25,6,6,0,0,0,1,335983,1,0
Manpreet Gony,4,0,42,1,10.5,7,2,3,2,0,1,335983,1,25
Muttiah Muralitharan,4,0,33,1,8.25,7,1,2,1,0,1,335983,1,25
Palani  Amarnath,4,0,42,1,10.5,4,5,1,0,0,1,335983,1,25
Joginder Sharma,4,0,47,1,11.75,5,4,3,1,0,1,335983,1,25
Glenn McGrath,4,1,21,1,5.25,16,2,1,1,0,2,335984,1,37
Brett Geeves,4,0,41,0,10.25,8,7,0,0,0,2,335984,1,0
Farveez Maharoof,4,0,11,2,2.75,13,0,0,0,0,2,335984,1,56
Rajat Bhatia,4,0,17,2,4.25,13,1,0,1,0,2,335984,1,56
Daniel Vettori,4,0,35,1,8.75,8,3,2,0,0,2,335984,1,25
Munaf Patel,3,0,25,0,8.33,10,4,1,0,0,1,335984,1,0
Shane Watson,4,0,31,1,7.75,9,5,0,1,0,1,335984,1,25
Siddharth Trivedi,3,0,32,0,10.67,6,5,0,3,0,1,335984,1,0
Shane Warne,2,0,16,0,8,2,2,0,0,0,1,335984,1,0
Yusuf Pathan,2.1,0,17,0,7.85,4,2,0,1,0,1,335984,1,0
Dinesh Salunkhe,1,0,11,0,11,0,0,0,1,0,1,335984,1,0
Praveen Kumar,4,0,29,1,7.25,11,3,1,1,0,2,335985,1,25
Zaheer Khan,4,0,17,2,4.25,14,2,0,0,0,2,335985,1,56
Jacques Kallis,3,0,43,0,14.33,3,7,1,2,0,2,335985,1,-6
Vinay Kumar,4,0,41,0,10.25,9,3,3,0,0,2,335985,1,0
Balachandra Akhil,3,0,17,2,5.67,8,2,0,0,0,2,335985,1,50
Sunil Joshi,2,0,10,0,5,5,1,0,0,0,2,335985,1,0
Ashish Nehra,4,0,45,1,11.25,7,5,2,2,0,1,335985,1,25
Shaun Pollock,4,0,17,0,4.25,10,1,0,0,0,1,335985,1,6
Dhawal Kulkarni,2.4,0,19,1,7.13,8,3,0,2,0,1,335985,1,25
Sanath Jayasuriya,4,0,39,1,9.75,3,2,2,0,0,1,335985,1,25
Harbhajan Singh,4,0,36,2,9,6,2,2,1,0,1,335985,1,50
Abhishek Nayar,1,0,10,0,10,2,2,0,0,0,1,335985,1,0
Ashok Dinda,3,0,18,1,6,9,1,0,0,1,2,335986,1,25
Ishant Sharma,3,1,9,1,3,13,0,0,3,0,2,335986,1,43
Ajit Agarkar,2,0,19,2,9.5,6,1,2,0,0,2,335986,1,50
Murali Kartik,3.4,0,17,3,4.64,14,3,0,0,0,2,335986,1,85
Mohammad Hafeez,4,0,8,1,2,17,0,0,0,1,2,335986,1,31
David Hussey,3,0,35,1,11.67,7,1,4,1,0,2,335986,1,25
Chaminda Vaas,3,0,9,2,3,12,1,0,0,0,1,335986,1,56
RP Singh,3,0,15,1,5,10,2,0,0,0,1,335986,1,25
Scott Styris,4,0,19,0,4.75,15,1,1,1,0,1,335986,1,6
Sanjay Bangar,3,0,19,0,6.33,13,1,1,2,0,1,335986,1,0
Andrew Symonds,2,0,20,0,10,4,0,1,2,1,1,335986,1,0
Pragyan Ojha,4,0,18,2,4.5,13,0,1,2,0,1,335986,1,56
Munaf Patel,4,0,36,1,9,12,4,2,0,0,2,335987,1,25
Shane Watson,4,0,39,0,9.75,12,8,0,0,1,2,335987,1,0
Siddharth Trivedi,4,0,25,2,6.25,12,2,1,0,0,2,335987,1,50
Shane Warne,4,0,19,3,4.75,11,0,1,0,0,2,335987,1,85
Dinesh Salunkhe,2,0,21,1,10.5,5,2,1,2,0,2,335987,1,25
Pankaj Singh,1,0,12,0,12,0,2,0,0,0,2,335987,1,0
Yusuf Pathan,1,0,13,0,13,3,0,2,0,0,2,335987,1,0
Brett Lee,4,0,35,1,8.75,13,5,1,0,2,1,335987,1,25
Sreesanth,3.1,0,38,1,12,9,5,1,3,2,1,335987,1,19
James Hopes,4,0,33,1,8.25,11,2,2,1,0,1,335987,1,25
Irfan Pathan,4,0,21,1,5.25,11,2,0,2,0,1,335987,1,25
Piyush Chawla,2,0,27,0,13.5,4,3,2,0,0,1,335987,1,-6
Wilkin Mota,1,0,12,0,12,1,0,1,0,0,1,335987,1,0
Glenn McGrath,4,1,22,0,5.5,16,4,0,0,0,2,335988,1,12
Mohammad Asif,4,0,19,2,4.75,17,0,2,0,0,2,335988,1,56
Farveez Maharoof,4,0,36,2,9,10,3,2,1,0,2,335988,1,50
Yo Mahesh,4,0,35,1,8.75,7,3,1,0,1,2,335988,1,25
Rajat Bhatia,4,0,27,2,6.75,9,2,1,0,0,2,335988,1,50
Chaminda Vaas,3,0,22,0,7.33,7,3,0,1,0,1,335988,1,0
RP Singh,3,0,27,1,9,7,5,0,1,0,1,335988,1,25
Sanjay Bangar,2,0,30,0,15,3,3,2,1,0,1,335988,1,-6
Shahid Afridi,2,0,17,0,8.5,3,0,1,0,0,1,335988,1,0
Andrew Symonds,2,0,35,0,17.5,4,4,3,0,0,1,335988,1,-6
Pragyan Ojha,1,0,7,0,7,3,0,0,2,0,1,335988,1,0
Shaun Pollock,3,0,32,0,10.67,8,5,1,1,0,2,335989,1,0
Ashish Nehra,4,0,35,1,8.75,12,6,0,2,1,2,335989,1,25
Dhawal Kulkarni,3,0,25,1,8.33,7,4,0,0,1,2,335989,1,25
Harbhajan Singh,2,0,14,0,7,3,0,1,0,0,2,335989,1,0
Dwayne Bravo,3,0,36,0,12,4,5,1,1,0,2,335989,1,-6
Vikrant Yeligati,1,0,16,0,16,1,2,0,1,0,2,335989,1,0
Abhishek Nayar,1,0,14,0,14,2,0,2,0,0,2,335989,1,0
Musavir Khote,3,0,29,2,9.67,4,2,1,0,0,2,335989,1,50
Jacob Oram,4,0,53,0,13.25,7,6,3,2,0,1,335989,1,-6
Manpreet Gony,4,1,18,1,4.5,14,2,0,0,1,1,335989,1,43
Joginder Sharma,4,0,29,2,7.25,8,3,0,0,1,1,335989,1,50
Palani  Amarnath,4,0,57,1,14.25,6,6,3,0,0,1,335989,1,19
Muttiah Muralitharan,4,0,40,2,10,5,2,2,4,0,1,335989,1,50
Munaf Patel,4,0,55,0,13.75,7,11,0,2,0,2,335990,1,-6
Shane Watson,4,0,32,1,8,13,6,0,2,0,2,335990,1,25
Yusuf Pathan,2,0,20,2,10,6,1,2,0,0,2,335990,1,50
Pankaj Singh,2,0,14,0,7,4,0,1,0,0,2,335990,1,0
Siddharth Trivedi,3,0,37,0,12.33,2,3,2,0,1,2,335990,1,-6
Shane Warne,4,0,47,2,11.75,3,3,3,1,0,2,335990,1,50
Dinesh Salunkhe,1,0,9,0,9,2,0,1,0,0,2,335990,1,0
Chaminda Vaas,4,0,42,1,10.5,8,5,2,0,0,1,335990,1,25
RP Singh,4,0,44,1,11,10,4,3,1,1,1,335990,1,25
Pragyan Ojha,2,0,23,0,11.5,3,3,1,0,0,1,335990,1,0
Doddapaneni Kalyankrishna,3,0,30,1,10,4,2,2,0,0,1,335990,1,25
Shahid Afridi,4,0,28,3,7,9,2,1,1,0,1,335990,1,79
Andrew Symonds,2.5,0,46,0,16.24,3,2,5,0,0,1,335990,1,-6
Shaun Pollock,4,0,40,1,10,8,5,1,1,0,2,335991,1,25
Ashish Nehra,3,0,22,2,7.33,7,2,0,0,0,2,335991,1,50
Dhawal Kulkarni,4,0,37,2,9.25,10,3,2,1,1,2,335991,1,50
Harbhajan Singh,4,0,32,3,8,9,4,0,1,0,2,335991,1,79
Dwayne Bravo,3,0,27,0,9,6,2,1,0,0,2,335991,1,0
Musavir Khote,2,0,22,0,11,2,2,1,0,0,2,335991,1,0
Brett Lee,4,0,9,1,2.25,18,1,0,0,0,1,335991,1,31
Irfan Pathan,4,1,19,2,4.75,15,1,1,2,0,1,335991,1,68
Vikram Singh,4,0,40,1,10,10,5,2,1,0,1,335991,1,25
Sreesanth,4,0,31,2,7.75,12,3,1,0,2,1,335991,1,50
Piyush Chawla,4,0,16,2,4,15,2,0,1,0,1,335991,1,56
Shane Watson,4,0,20,2,5,15,3,0,0,1,2,335992,1,50
Sohail Tanvir,4,0,31,0,7.75,14,3,2,1,0,2,335992,1,0
Munaf Patel,3,0,20,2,6.67,9,2,1,0,0,2,335992,1,50
Siddharth Trivedi,4,0,29,1,7.25,12,3,1,2,0,2,335992,1,25
Shane Warne,4,1,23,1,5.75,15,1,2,0,0,2,335992,1,37
Yusuf Pathan,1,0,10,0,10,1,0,1,0,0,2,335992,1,0
Praveen Kumar,3,0,42,1,14,5,8,1,0,0,1,335992,1,19
Zaheer Khan,4,0,24,1,6,15,5,0,0,0,1,335992,1,25
Vinay Kumar,2,0,15,0,7.5,4,2,0,1,0,1,335992,1,0
Anil Kumble,4,0,22,0,5.5,10,2,0,1,0,1,335992,1,0
Jacques Kallis,1,0,7,0,7,2,1,0,0,0,1,335992,1,0
Sunil Joshi,3.1,0,27,1,8.53,9,4,1,0,0,1,335992,1,25
Jacob Oram,4,0,32,3,8,9,3,1,0,0,2,335993,1,79
Manpreet Gony,4,0,40,2,10,9,4,2,0,1,2,335993,1,50
Palani  Amarnath,4,0,29,2,7.25,11,5,0,0,0,2,335993,1,50
Muttiah Muralitharan,4,0,12,0,3,15,0,0,3,0,2,335993,1,6
Joginder Sharma,4,0,32,1,8,7,2,1,1,1,2,335993,1,25
Ashok Dinda,3,0,25,0,8.33,11,4,0,2,0,1,335993,1,0
Ishant Sharma,3,0,26,0,8.67,10,1,1,1,1,1,335993,1,0
Ajit Agarkar,3,0,19,1,6.33,9,3,0,0,0,1,335993,1,25
David Hussey,1,0,10,0,10,2,0,1,0,0,1,335993,1,0
Mohammad Hafeez,2,0,16,0,8,2,0,1,1,0,1,335993,1,0
Murali Kartik,3,0,33,0,11,2,2,2,0,0,1,335993,1,0
Laxmi Shukla,2,0,18,0,9,3,2,0,0,0,1,335993,1,0
RP Singh,4,1,15,2,3.75,18,2,0,2,0,2,335994,1,68
Nuwan Zoysa,4,0,30,1,7.5,11,3,1,1,1,2,335994,1,25
Sanjay Bangar,4,0,34,2,8.5,9,4,1,0,0,2,335994,1,50
Shahid Afridi,4,0,32,2,8,11,1,2,0,1,2,335994,1,50
Pragyan Ojha,2,0,14,0,7,4,2,0,0,0,2,335994,1,0
Doddapaneni Kalyankrishna,2,0,23,0,11.5,2,2,1,0,0,2,335994,1,0
Ashish Nehra,2,0,19,0,9.5,5,4,0,0,0,1,335994,1,0
Shaun Pollock,2,0,33,0,16.5,3,3,3,0,0,1,335994,1,-6
Dhawal Kulkarni,1,0,8,0,8,4,2,0,0,0,1,335994,1,0
Sanath Jayasuriya,2,0,17,0,8.5,4,1,1,0,0,1,335994,1,0
Siddharth Chitnis,2,0,20,0,10,4,2,1,1,0,1,335994,1,0
Dwayne Bravo,2,0,31,0,15.5,3,1,3,2,0,1,335994,1,-6
Abhishek Nayar,1,0,22,0,22,0,0,3,1,0,1,335994,1,0
Brett Lee,4,0,33,1,8.25,7,5,0,0,0,2,335995,1,25
Irfan Pathan,4,0,26,2,6.5,8,2,0,3,0,2,335995,1,50
Sreesanth,2,0,25,0,12.5,2,3,1,0,0,2,335995,1,-6
Vikram Singh,4,0,29,3,7.25,10,4,0,0,0,2,335995,1,79
Piyush Chawla,4,0,29,0,7.25,12,3,1,1,0,2,335995,1,0
Yuvraj Singh,2,0,11,1,5.5,5,1,0,1,0,2,335995,1,25
Glenn McGrath,4,0,29,1,7.25,12,4,1,0,0,1,335995,1,25
Mohammad Asif,4,0,39,2,9.75,11,7,0,0,1,1,335995,1,50
Farveez Maharoof,3,0,31,0,10.33,7,4,1,1,0,1,335995,1,0
Yo Mahesh,4,0,23,1,5.75,9,2,0,0,0,1,335995,1,25
Shoaib Malik,3.3,0,32,1,9.14,8,2,1,2,1,1,335995,1,25
Rajat Bhatia,1,0,5,0,5,2,0,0,1,0,1,335995,1,0
Dale Steyn,4,0,40,0,10,11,6,1,3,0,2,335996,1,0
Zaheer Khan,4,0,38,3,9.5,12,7,1,0,0,2,335996,1,79
Praveen Kumar,4,0,29,1,7.25,8,1,2,0,0,2,335996,1,25
Jacques Kallis,4,0,36,0,9,4,2,1,0,0,2,335996,1,0
Balachandra Akhil,4,0,34,0,8.5,9,1,3,0,0,2,335996,1,0
Jacob Oram,4,0,27,0,6.75,10,2,1,2,0,1,335996,1,0
Manpreet Gony,4,0,34,3,8.5,10,4,1,0,0,1,335996,1,79
Albie Morkel,4,0,38,1,9.5,6,2,2,3,0,1,335996,1,25
Palani  Amarnath,4,0,38,2,9.5,5,5,0,0,0,1,335996,1,50
Joginder Sharma,3.4,0,27,2,7.36,5,1,1,1,0,1,335996,1,50
Shaun Pollock,4,0,27,2,6.75,11,3,1,0,0,2,335997,1,50
Ashish Nehra,1,0,9,0,9,3,2,0,0,0,2,335997,1,0
Dilhara Fernando,4,0,41,1,10.25,8,6,1,2,0,2,335997,1,25
Dhawal Kulkarni,3,0,15,0,5,9,1,0,1,0,2,335997,1,0
Dwayne Bravo,4,0,25,1,6.25,11,2,1,1,0,2,335997,1,25
Sanath Jayasuriya,4,1,14,3,3.5,14,1,0,1,0,2,335997,1,97
Ajit Agarkar,4,0,23,1,5.75,13,2,0,3,1,1,335997,1,25
Ishant Sharma,3.4,0,33,1,9,13,6,1,0,0,1,335997,1,25
Ashok Dinda,4,0,12,1,3,16,1,0,0,0,1,335997,1,31
Murali Kartik,3,0,24,0,8,9,3,1,1,0,1,335997,1,0
Mohammad Hafeez,1,0,16,0,16,1,2,0,1,0,1,335997,1,0
Sourav Ganguly,2,0,14,0,7,1,1,0,0,0,1,335997,1,0
Laxmi Shukla,1,0,11,0,11,1,2,0,0,0,1,335997,1,0
Dale Steyn,4,0,29,1,7.25,10,3,0,1,1,2,335998,1,25
Zaheer Khan,4,0,42,1,10.5,9,7,1,0,0,2,335998,1,25
Praveen Kumar,4,0,24,0,6,7,2,0,0,0,2,335998,1,0
Vinay Kumar,2,0,25,0,12.5,1,4,0,0,0,2,335998,1,-6
Jacques Kallis,4,0,39,2,9.75,6,3,2,0,0,2,335998,1,50
Virat Kohli,1,0,11,0,11,0,1,0,0,0,2,335998,1,0
Sunil Joshi,1,0,19,0,19,0,1,2,0,0,2,335998,1,0
Glenn McGrath,4,0,29,4,7.25,10,3,1,0,0,1,335998,1,108
Mohammad Asif,4,0,42,0,10.5,8,5,2,0,0,1,335998,1,0
Yo Mahesh,4,0,28,0,7,8,3,0,0,1,1,335998,1,0
Daniel Vettori,4,0,19,1,4.75,8,1,0,0,0,1,335998,1,31
Rajat Bhatia,1,0,14,0,14,1,3,0,0,0,1,335998,1,0
Shoaib Malik,1,0,8,0,8,3,0,1,0,0,1,335998,1,0
Virender Sehwag,2,0,30,0,15,1,1,3,0,0,1,335998,1,-6
Sreesanth,4,0,33,1,8.25,9,5,0,1,0,2,335999,1,25
Irfan Pathan,4,0,30,2,7.5,9,3,1,1,0,2,335999,1,50
Vikram Singh,4,0,34,0,8.5,6,4,0,0,0,2,335999,1,0
Piyush Chawla,4,0,28,3,7,8,2,1,0,0,2,335999,1,79
Gagandeep Singh,4,0,37,1,9.25,10,5,1,0,0,2,335999,1,25
RP Singh,3.5,0,36,0,9.39,6,5,0,2,0,1,335999,1,0
Nuwan Zoysa,4,0,32,1,8,10,4,1,0,0,1,335999,1,25
Shahid Afridi,3,0,28,0,9.33,3,4,0,0,0,1,335999,1,0
Sanjay Bangar,4,0,26,0,6.5,9,3,0,0,0,1,335999,1,0
Doddapaneni Kalyankrishna,3,0,34,1,11.33,5,4,1,2,0,1,335999,1,25
Venugopal Rao,1,0,9,0,9,1,1,0,0,0,1,335999,1,0
Ashok Dinda,4,0,30,0,7.5,11,5,0,2,0,2,336000,1,0
Ishant Sharma,4,0,26,1,6.5,13,4,0,0,1,2,336000,1,25
Ajit Agarkar,4,0,46,1,11.5,6,4,3,0,0,2,336000,1,25
Umar Gul,4,0,31,3,7.75,8,1,1,1,2,2,336000,1,79
David Hussey,2,0,26,0,13,1,4,0,0,0,2,336000,1,-6
Sourav Ganguly,1,0,14,0,14,1,3,0,0,0,2,336000,1,0
Laxmi Shukla,1,0,16,1,16,1,1,1,0,1,2,336000,1,25
Shane Watson,3.1,0,22,2,6.95,11,2,1,2,0,1,336000,1,50
Sohail Tanvir,4,0,30,2,7.5,9,2,1,2,0,1,336000,1,50
Siddharth Trivedi,4,0,31,2,7.75,8,1,2,2,0,1,336000,1,50
Munaf Patel,4,0,29,0,7.25,7,1,1,0,0,1,336000,1,0
Shane Warne,2,0,20,1,10,2,1,1,1,0,1,336000,1,25
Yusuf Pathan,2,0,14,0,7,4,1,0,0,0,1,336000,1,0
Glenn McGrath,4,0,21,1,5.25,11,2,0,0,0,2,336001,1,25
Mohammad Asif,4,0,34,1,8.5,7,5,0,1,0,2,336001,1,25
Yo Mahesh,4,0,31,1,7.75,13,5,0,0,2,2,336001,1,25
Pradeep Sangwan,4,0,40,0,10,6,3,2,2,0,2,336001,1,0
Shoaib Malik,1,0,11,0,11,1,1,0,1,0,2,336001,1,0
Virender Sehwag,2,0,21,1,10.5,5,1,2,0,0,2,336001,1,25
Rajat Bhatia,1,0,11,1,11,1,0,1,0,0,2,336001,1,25
Makhaya Ntini,4,0,29,0,7.25,10,3,1,0,0,1,336001,1,0
Manpreet Gony,4,0,39,1,9.75,8,3,2,1,0,1,336001,1,25
Albie Morkel,4,0,40,0,10,7,6,0,1,0,1,336001,1,0
Joginder Sharma,3,0,35,1,11.67,4,2,2,0,1,1,336001,1,25
Muttiah Muralitharan,4,0,27,0,6.75,9,2,0,0,1,1,336001,1,0
Anil Kumble,4,0,33,1,8.25,12,2,2,1,0,2,336002,1,25
Dale Steyn,4,0,19,2,4.75,13,2,0,1,0,2,336002,1,56
Jacques Kallis,1.2,0,19,0,14.25,1,2,1,1,0,2,336002,1,0
Virat Kohli,3.4,0,25,2,6.82,6,0,1,1,1,2,336002,1,50
Vinay Kumar,4,0,27,3,6.75,17,4,1,0,1,2,336002,1,79
Balachandra Akhil,3,0,39,0,13,5,5,2,0,0,2,336002,1,-6
Chaminda Vaas,4,0,36,1,9,10,7,0,0,0,1,336002,1,25
RP Singh,3,0,15,0,5,9,2,0,0,0,1,336002,1,0
Sanjay Bangar,4,0,30,1,7.5,10,5,0,0,0,1,336002,1,25
Paidikalva Vijaykumar,4,0,29,0,7.25,9,3,1,0,0,1,336002,1,0
Venugopal Rao,1,0,18,0,18,0,2,1,0,0,1,336002,1,0
Dwaraka Ravi Teja,2,0,19,1,9.5,3,0,2,0,0,1,336002,1,25
Chamara Silva,1,0,21,0,21,0,0,3,0,0,1,336002,1,0
Ishant Sharma,4,0,41,0,10.25,9,6,1,0,1,2,336003,1,0
Ajit Agarkar,3,0,26,0,8.67,5,4,0,1,0,2,336003,1,0
Ashok Dinda,3,0,24,1,8,12,4,1,1,0,2,336003,1,25
Mohammad Hafeez,3,0,28,1,9.33,5,3,1,0,0,2,336003,1,25
David Hussey,3,0,23,1,7.67,8,2,1,0,0,2,336003,1,25
Umar Gul,4,0,27,2,6.75,9,3,0,2,0,2,336003,1,50
Sreesanth,4,0,25,2,6.25,13,3,0,1,0,1,336003,1,50
Irfan Pathan,4,0,18,2,4.5,16,1,1,1,0,1,336003,1,56
Vikram Singh,4,0,31,1,7.75,6,3,0,0,0,1,336003,1,25
Gagandeep Singh,4,0,43,1,10.75,6,2,3,0,0,1,336003,1,25
James Hopes,3,0,35,0,11.67,4,0,3,0,0,1,336003,1,0
Piyush Chawla,1,0,16,0,16,2,0,2,0,0,1,336003,1,0
Glenn McGrath,4,0,26,0,6.5,11,4,0,0,0,2,336004,1,0
Mohammad Asif,4,0,46,1,11.5,9,4,3,3,0,2,336004,1,25
Yo Mahesh,4,0,33,3,8.25,11,5,1,0,0,2,336004,1,79
Pradeep Sangwan,4,0,21,1,5.25,10,0,1,0,1,2,336004,1,25
Rajat Bhatia,2,0,22,1,11,5,0,3,0,0,2,336004,1,25
Virender Sehwag,1,0,2,1,2,4,0,0,0,0,2,336004,1,25
Shoaib Malik,1,0,6,1,6,3,1,0,0,0,2,336004,1,25
Shaun Pollock,4,0,16,2,4,15,0,1,0,0,1,336004,1,56
Ashish Nehra,4,0,25,3,6.25,11,2,1,0,0,1,336004,1,79
Dwayne Bravo,3,0,27,1,9,6,2,1,0,0,1,336004,1,25
Dhawal Kulkarni,2.5,0,18,2,6.35,8,2,0,0,1,1,336004,1,50
Sanath Jayasuriya,1,0,16,0,16,0,0,2,0,0,1,336004,1,0
Dominic Thornely,2,0,15,1,7.5,3,2,0,0,0,1,336004,1,25
Rohan Raje,2,0,13,0,6.5,3,1,0,0,0,1,336004,1,0
Sohail Tanvir,4,0,14,6,3.5,17,2,0,0,0,2,336005,1,172
Shane Watson,4,0,19,1,4.75,18,3,0,2,0,2,336005,1,31
Munaf Patel,4,0,16,2,4,12,1,0,0,0,2,336005,1,56
Siddharth Trivedi,2,0,17,0,8.5,4,2,0,0,0,2,336005,1,0
Shane Warne,3,0,29,1,9.67,6,3,1,0,0,2,336005,1,25
Yusuf Pathan,2,0,9,0,4.5,6,1,0,0,0,2,336005,1,6
Makhaya Ntini,3,1,17,0,5.67,10,3,0,0,0,1,336005,1,12
Manpreet Gony,3,0,25,0,8.33,8,5,0,0,0,1,336005,1,0
Albie Morkel,1,0,10,0,10,4,0,0,3,1,1,336005,1,0
Muttiah Muralitharan,4,0,20,1,5,13,0,0,2,0,1,336005,1,25
Suresh Raina,1.2,0,10,0,7.5,2,1,0,0,0,1,336005,1,0
Vidyut Sivaramakrishnan,2,0,22,1,11,5,1,2,1,0,1,336005,1,25
Sreesanth,4,0,16,2,4,17,2,0,2,0,2,336006,1,56
Irfan Pathan,3.2,0,13,1,3.9,14,2,0,1,0,2,336006,1,31
Gagandeep Singh,3,0,28,0,9.33,4,4,0,0,0,2,336006,1,0
Vikram Singh,4,0,33,1,8.25,10,4,1,1,0,2,336006,1,25
Piyush Chawla,4,0,25,3,6.25,12,2,0,1,0,2,336006,1,79
James Hopes,1,0,10,0,10,2,2,0,0,0,2,336006,1,0
Dale Steyn,4,0,16,0,4,15,0,1,2,0,1,336006,1,6
Zaheer Khan,4,0,29,2,7.25,13,4,0,3,0,1,336006,1,50
Praveen Kumar,4,1,22,2,5.5,13,2,1,0,0,1,336006,1,62
Jacques Kallis,3,0,14,0,4.67,7,1,0,0,0,1,336006,1,6
Anil Kumble,3.2,0,36,0,10.8,7,5,1,2,0,1,336006,1,0
Paidikalva Vijaykumar,3,0,17,1,5.67,12,3,0,0,0,2,336007,1,25
RP Singh,3,0,12,2,4,11,1,0,2,0,2,336007,1,56
Scott Styris,3,0,24,1,8,8,1,2,1,0,2,336007,1,25
Shahid Afridi,3,0,27,1,9,6,5,0,0,0,2,336007,1,25
Sanjay Bangar,4,0,36,1,9,9,2,2,0,0,2,336007,1,25
Pragyan Ojha,4,0,22,1,5.5,10,0,1,1,0,2,336007,1,25
Makhaya Ntini,4,0,37,0,9.25,10,2,3,0,0,1,336007,1,0
Manpreet Gony,3,0,15,1,5,9,2,0,0,0,1,336007,1,25
Albie Morkel,4,0,26,1,6.5,13,3,1,1,0,1,336007,1,25
Joginder Sharma,3,0,45,0,15,7,5,3,0,2,1,336007,1,-6
Muttiah Muralitharan,4,0,24,1,6,12,3,0,1,0,1,336007,1,25
Shaun Pollock,3,0,19,1,6.33,7,2,0,0,0,2,336008,1,25
Ashish Nehra,3,0,13,3,4.33,12,2,0,0,0,2,336008,1,85
Dhawal Kulkarni,3,0,21,2,7,10,1,2,0,0,2,336008,1,50
Dwayne Bravo,2.2,0,12,2,5.14,8,0,0,4,0,2,336008,1,50
Sanath Jayasuriya,2,0,17,0,8.5,2,2,0,0,0,2,336008,1,0
Rohan Raje,3,0,19,2,6.33,6,2,0,1,0,2,336008,1,50
Sohail Tanvir,3.1,0,13,0,4.11,13,1,0,4,0,1,336008,1,6
Munaf Patel,3,0,21,0,7,9,0,1,1,0,1,336008,1,0
Siddharth Trivedi,3,0,23,0,7.67,9,1,2,0,0,1,336008,1,0
Shane Watson,4,0,26,2,6.5,10,3,0,1,0,1,336008,1,50
Shane Warne,2,0,19,1,9.5,5,2,0,2,0,1,336008,1,25
Manpreet Gony,4,0,36,1,9,6,3,1,1,0,2,336009,1,25
Albie Morkel,4,0,35,2,8.75,7,5,0,0,2,2,336009,1,50
Muttiah Muralitharan,4,0,25,0,6.25,9,2,0,3,0,2,336009,1,0
Palani  Amarnath,3,0,35,0,11.67,4,5,1,0,0,2,336009,1,0
Lakshmipathy Balaji,4,0,35,2,8.75,6,4,1,0,0,2,336009,1,50
Chamara Kapugedera,1,0,15,0,15,0,3,0,0,0,2,336009,1,0
Glenn McGrath,4,0,23,0,5.75,9,2,0,0,0,1,336009,1,0
Mohammad Asif,4,0,33,1,8.25,7,4,0,0,0,1,336009,1,25
Yo Mahesh,4,0,40,2,10,8,5,1,1,0,1,336009,1,50
Pradeep Sangwan,4,0,29,2,7.25,9,4,0,1,0,1,336009,1,50
Shoaib Malik,2,0,28,0,14,2,3,1,3,0,1,336009,1,-6
Virender Sehwag,2,0,30,0,15,3,2,3,0,0,1,336009,1,-6
Dale Steyn,4,0,27,3,6.75,11,4,0,1,0,2,336010,1,79
Zaheer Khan,3,0,27,1,9,7,3,0,1,0,2,336010,1,25
Praveen Kumar,3,0,36,1,12,7,3,3,0,0,2,336010,1,19
Vinay Kumar,3,0,15,0,5,8,1,0,0,0,2,336010,1,0
Anil Kumble,3,0,21,0,7,10,1,2,0,0,2,336010,1,0
Ashok Dinda,3,0,20,0,6.67,8,3,0,1,0,1,336010,1,0
Ishant Sharma,4,0,25,1,6.25,10,3,0,0,0,1,336010,1,25
Umar Gul,3,0,30,0,10,7,5,0,1,1,1,336010,1,0
Sourav Ganguly,3,0,7,1,2.33,11,0,0,0,0,1,336010,1,31
Murali Kartik,2,0,24,0,12,3,3,1,0,0,1,336010,1,-6
Laxmi Shukla,1,0,15,0,15,0,1,1,0,0,1,336010,1,0
Sohail Tanvir,4,0,39,0,9.75,12,7,1,1,0,2,336011,1,0
Shane Watson,3,0,22,1,7.33,8,2,1,0,1,2,336011,1,25
Munaf Patel,4,0,28,1,7,9,4,0,0,0,2,336011,1,25
