,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams
516,Dinesh Karthik,c †Rawat b Mascarenhas,13,15,1,0,86.67,1,336015,1,14,Delhi Daredevils
517,Tillakaratne Dilshan,not out,18,15,1,1,120,1,336015,1,21,Delhi Daredevils
518,Amit Mishra,b Trivedi,4,5,0,0,80,1,336015,1,4,Delhi Daredevils
519,Farveez Maharoof,c NK Patel b Watson,39,16,2,4,243.75,1,336015,1,55,Delhi Daredevils
520,Yo Mahesh,not out,0,1,0,0,0,1,336015,1,-2,Delhi Daredevils
521,Yusuf Pathan,run out (de Villiers),8,13,1,0,61.54,2,336015,1,9,Rajasthan Royals
522,Graeme Smith,c Mahesh b Mishra,24,27,3,0,88.89,2,336015,1,27,Rajasthan Royals
523,Mohammad Kaif,run out (Sehwag/†Karthik),1,5,0,0,20,2,336015,1,-5,Rajasthan Royals
524,Shane Watson,run out (†Karthik),74,40,5,5,185,2,336015,1,95,Rajasthan Royals
525,Ravindra Jadeja,b Mishra,6,6,1,0,100,2,336015,1,7,Rajasthan Royals
526,Dimitri Mascarenhas,b Sehwag,9,8,0,1,112.5,2,336015,1,11,Rajasthan Royals
527,Shane Warne,b Maharoof,11,12,1,0,91.67,2,336015,1,12,Rajasthan Royals
528,Niraj Patel,not out,4,2,1,0,200,2,336015,1,11,Rajasthan Royals
529,Mahesh Rawat,not out,5,4,1,0,125,2,336015,1,6,Rajasthan Royals
530,Jagadeesh Arunkumar,c Jayawardene b Sreesanth,1,3,0,0,33.33,1,336016,1,-5,Bangalore Royal Challengers
531,Virat Kohli,b Chawla,21,22,4,0,95.45,1,336016,1,25,Bangalore Royal Challengers
532,Misbah ul Haq,hit wicket b Sreesanth,21,8,3,1,262.5,1,336016,1,32,Bangalore Royal Challengers
533,Cameron White,c & b Chawla,10,14,0,0,71.43,1,336016,1,10,Bangalore Royal Challengers
534,Rahul Dravid,b Pathan,29,26,2,0,111.54,1,336016,1,31,Bangalore Royal Challengers
535,Mark Boucher,run out (Chawla/†Kaul),39,32,4,1,121.88,1,336016,1,45,Bangalore Royal Challengers
536,Praveen Kumar,b Sreesanth,5,7,0,0,71.43,1,336016,1,5,Bangalore Royal Challengers
537,Vinay Kumar,b Singh,1,3,0,0,33.33,1,336016,1,-5,Bangalore Royal Challengers
538,Zaheer Khan,not out,1,4,0,0,25,1,336016,1,-5,Bangalore Royal Challengers
539,Anil Kumble,not out,0,1,0,0,0,1,336016,1,-2,Bangalore Royal Challengers
540,Shaun Marsh,not out,74,51,9,2,145.1,2,336016,1,87,Kings XI Punjab
541,James Hopes,c Steyn b Vinay Kumar,27,19,0,3,142.11,2,336016,1,33,Kings XI Punjab
542,Luke Pomersbach,not out,34,24,3,2,141.67,2,336016,1,41,Kings XI Punjab
543,Salman Butt,c McGrath b Mahesh,48,44,7,0,109.09,1,336017,1,55,Kolkata Knight Riders
544,Aakash Chopra,c Maharoof b Sangwan,13,17,2,0,76.47,1,336017,1,15,Kolkata Knight Riders
