,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location
1461,Morne van Wyk,c Bhatia b Nannes,0,2,0,0,0,1,392219,2,-2,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1462,Yashpal Singh,c Bhatia b Mishra,13,20,2,0,65,1,392219,2,15,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1463,Wriddhiman Saha,c †Karthik b Mishra,0,1,0,0,0,1,392219,2,-2,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1464,Moises Henriques,st †Karthik b Mishra,2,8,0,0,25,1,392219,2,-4,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1465,Ajit Agarkar,c Manhas b Sangwan,39,29,3,2,134.48,1,392219,2,46,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1466,Murali Kartik,not out,11,10,0,0,110,1,392219,2,11,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1467,Gautam Gambhir,c Hodge b Henriques,18,24,3,0,75,2,392219,2,21,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1468,David Warner,c †van Wyk b Sharma,36,23,5,1,156.52,2,392219,2,43,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1469,AB de Villiers,not out,40,32,5,0,125,2,392219,2,45,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1470,Tillakaratne Dilshan,c Henriques b Sharma,1,2,0,0,50,2,392219,2,1,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1471,Dinesh Karthik,not out,17,22,0,0,77.27,2,392219,2,17,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,"The Wanderers Stadium, Johannesburg"
1472,Tirumalasetti Suman,c Carseldine b Trivedi,29,19,3,1,152.63,1,392220,2,34,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1473,Adam Gilchrist,lbw b Pathan,10,11,0,1,90.91,1,392220,2,12,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1474,Rohit Sharma,st †Ojha b Jadeja,9,14,0,0,64.29,1,392220,2,9,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1475,Andrew Symonds,b Jadeja,30,19,2,1,157.89,1,392220,2,34,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1476,Dwayne Smith,c Raut b Pathan,47,32,0,4,146.88,1,392220,2,55,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1477,Chaminda Vaas,c Carseldine b Pathan,20,15,0,1,133.33,1,392220,2,22,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1478,Venugopal Rao,c Jadeja b Warne,12,7,2,0,171.43,1,392220,2,20,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1479,Dwaraka Ravi Teja,not out,7,3,1,0,233.33,1,392220,2,14,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1480,RP Singh,not out,0,0,0,0,0,1,392220,2,-2,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1481,Graeme Smith,lbw b Vaas,1,3,0,0,33.33,2,392220,2,-5,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1482,Swapnil Asnodkar,run out (†Gilchrist/Venugopal Rao),44,39,6,1,112.82,2,392220,2,52,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1483,Lee Carseldine,st †Gilchrist b Vaas,8,11,1,0,72.73,2,392220,2,9,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1484,Naman Ojha,run out (Ravi Teja),16,14,2,0,114.29,2,392220,2,18,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1485,Yusuf Pathan,c Smith b Ojha,6,7,0,0,85.71,2,392220,2,6,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1486,Ravindra Jadeja,not out,19,20,0,0,95,2,392220,2,19,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1487,Abhishek Raut,b Sharma,1,2,0,0,50,2,392220,2,1,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1488,Morne Morkel,c Ravi Teja b Sharma,8,8,1,0,100,2,392220,2,9,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1489,Shane Warne,b Sharma,0,1,0,0,0,2,392220,2,-2,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1490,Siddharth Trivedi,b Singh,1,5,0,0,20,2,392220,2,-5,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1491,Munaf Patel,run out (Suman/†Gilchrist),5,7,0,0,71.43,2,392220,2,5,Rajasthan Royals,Deccan Chargers,Deccan Chargers,bat,"Diamond Oval, Kimberley"
1492,Brendon McCullum,not out,84,64,10,2,131.25,1,392221,2,98,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1493,Sourav Ganguly,c †Boucher b Vinay Kumar,4,6,1,0,66.67,1,392221,2,5,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1494,Arindam Ghosh,c †Boucher b Vinay Kumar,7,7,1,0,100,1,392221,2,8,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1495,David Hussey,b Akhil,43,27,3,2,159.26,1,392221,2,50,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1496,Angelo Mathews,c Kohli b Kumble,16,13,2,0,123.08,1,392221,2,18,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1497,Wriddhiman Saha,not out,10,5,0,1,200,1,392221,2,18,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1498,Jesse Ryder,c Ganguly b Agarkar,22,20,3,0,110,2,392221,2,25,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1499,Jacques Kallis,c McCullum b Kartik,32,34,4,1,94.12,2,392221,2,38,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1500,Robin Uthappa,c Mathews b Kartik,7,9,0,0,77.78,2,392221,2,7,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1501,Ross Taylor,not out,81,33,7,5,245.45,2,392221,2,104,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1502,Rahul Dravid,c & b Mendis,12,12,1,0,100,2,392221,2,13,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1503,Mark Boucher,not out,13,10,0,1,130,2,392221,2,15,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,"SuperSport Park, Centurion"
1504,Sunny Sohal,run out (Tendulkar),43,23,5,3,186.96,1,392222,2,60,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1505,Simon Katich,c Harbhajan Singh b Kulkarni,0,2,0,0,0,1,392222,2,-2,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1506,Irfan Pathan,run out (Bravo),0,3,0,0,0,1,392222,2,-2,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1507,Kumar Sangakkara,b Harbhajan Singh,8,19,0,0,42.11,1,392222,2,2,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1508,Yuvraj Singh,c Bravo b Duminy,12,18,2,0,66.67,1,392222,2,14,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1509,Wilkin Mota,c Harbhajan Singh b Duminy,4,7,0,0,57.14,1,392222,2,4,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1510,Luke Pomersbach,b Rahane,5,7,0,0,71.43,1,392222,2,5,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1511,Karan Goel,not out,20,21,2,0,95.24,1,392222,2,22,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1512,Brett Lee,c Raje b Malinga,8,12,1,0,66.67,1,392222,2,9,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1513,Piyush Chawla,run out (†Takawale),0,0,0,0,0,1,392222,2,-2,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1514,Sreesanth,not out,1,10,0,0,10,1,392222,2,-5,Punjab Kings,Mumbai Indians,Punjab Kings,bat,"SuperSport Park, Centurion"
1515,Sanath Jayasuriya,c Mota b Lee,4,7,1,0,57.14,2,392222,2,5,Mumbai Indians,Punjab Kings,Punjab Kings,bat,"SuperSport Park, Centurion"
1516,Dwayne Bravo,not out,70,59,7,3,118.64,2,392222,2,83,Mumbai Indians,Punjab Kings,Punjab Kings,bat,"SuperSport Park, Centurion"
1517,Ajinkya Rahane,lbw b Chawla,1,5,0,0,20,2,392222,2,-5,Mumbai Indians,Punjab Kings,Punjab Kings,bat,"SuperSport Park, Centurion"
1518,Sachin Tendulkar,not out,41,29,4,1,141.38,2,392222,2,47,Mumbai Indians,Punjab Kings,Punjab Kings,bat,"SuperSport Park, Centurion"
1519,Gautam Gambhir,c Venugopal Rao b Ojha,19,25,0,1,76,1,392223,2,21,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,"Kingsmead, Durban"
1520,David Warner,c Venugopal Rao b Vaas,4,6,0,0,66.67,1,392223,2,4,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,"Kingsmead, Durban"
1521,Tillakaratne Dilshan,c Ravi Teja b Symonds,37,18,7,1,205.56,1,392223,2,52,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,"Kingsmead, Durban"
1522,AB de Villiers,c Ravi Teja b Smith,44,36,4,1,122.22,1,392223,2,50,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,"Kingsmead, Durban"
1523,Virender Sehwag,c Symonds b Vaas,11,10,1,0,110,1,392223,2,12,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,"Kingsmead, Durban"
1524,Dinesh Karthik,not out,44,23,4,3,191.3,1,392223,2,60,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,"Kingsmead, Durban"
1525,Rajat Bhatia,c Shoaib Ahmed b Ojha,0,1,0,0,0,1,392223,2,-2,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,"Kingsmead, Durban"
1526,Amit Mishra,run out (†Gilchrist),2,3,0,0,66.67,1,392223,2,2,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,"Kingsmead, Durban"
1527,Pradeep Sangwan,not out,0,0,0,0,0,1,392223,2,-2,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,"Kingsmead, Durban"
1528,Tirumalasetti Suman,c Nehra b Sangwan,3,7,0,0,42.86,2,392223,2,-3,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1529,Adam Gilchrist,b Sangwan,64,33,5,5,193.94,2,392223,2,85,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1530,Rohit Sharma,c Warner b Sangwan,6,7,1,0,85.71,2,392223,2,7,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1531,Dwaraka Ravi Teja,c Bhatia b Nannes,27,34,3,0,79.41,2,392223,2,30,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1532,Andrew Symonds,b Bhatia,41,22,3,2,186.36,2,392223,2,54,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1533,Dwayne Smith,b Bhatia,1,2,0,0,50,2,392223,2,1,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1534,Venugopal Rao,c †Karthik b Nehra,1,3,0,0,33.33,2,392223,2,-5,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1535,Chaminda Vaas,not out,10,6,1,0,166.67,2,392223,2,11,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1536,RP Singh,run out (Nehra),0,1,0,0,0,2,392223,2,-2,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1537,Pragyan Ojha,b Bhatia,0,2,0,0,0,2,392223,2,-2,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1538,Shoaib Ahmed,c de Villiers b Bhatia,0,1,0,0,0,2,392223,2,-2,Deccan Chargers,Delhi Capitals,Deccan Chargers,field,"Kingsmead, Durban"
1539,Murali Vijay,c Uthappa b Kallis,5,9,0,0,55.56,1,392224,2,5,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1540,Matthew Hayden,c Vinay Kumar b Kumble,60,38,5,3,157.89,1,392224,2,71,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1541,Suresh Raina,c van der Merwe b Kallis,13,10,3,0,130,1,392224,2,16,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1542,MS Dhoni,c & b van der Merwe,18,20,1,0,90,1,392224,2,19,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1543,Jacob Oram,c †Boucher b Vinay Kumar,7,15,0,0,46.67,1,392224,2,1,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1544,S Badrinath,c Uthappa b Kumble,2,9,0,0,22.22,1,392224,2,-4,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1545,Albie Morkel,c Kumble b Kumar,9,7,1,0,128.57,1,392224,2,10,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1546,Shadab Jakati,not out,7,7,1,0,100,1,392224,2,8,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1547,Lakshmipathy Balaji,c Kumble b Vinay Kumar,0,1,0,0,0,1,392224,2,-2,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1548,Muttiah Muralitharan,run out (Kumar),4,2,1,0,200,1,392224,2,11,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1549,Sudeep Tyagi,run out (Akhil/Kumar),0,0,0,0,0,1,392224,2,-2,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"Kingsmead, Durban"
1550,Robin Uthappa,lbw b Morkel,6,4,1,0,150,2,392224,2,7,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"Kingsmead, Durban"
1551,Jacques Kallis,lbw b Morkel,0,1,0,0,0,2,392224,2,-2,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"Kingsmead, Durban"
1552,Rahul Dravid,c Badrinath b Tyagi,8,7,2,0,114.29,2,392224,2,10,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"Kingsmead, Durban"
1553,Ross Taylor,c †Dhoni b Oram,46,50,2,1,92,2,392224,2,50,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"Kingsmead, Durban"
1554,Virat Kohli,c Oram b Balaji,38,35,4,2,108.57,2,392224,2,46,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"Kingsmead, Durban"
1555,Mark Boucher,c Hayden b Muralitharan,5,5,1,0,100,2,392224,2,6,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"Kingsmead, Durban"
1556,Roelof van der Merwe,run out (Muralitharan/†Dhoni),3,6,0,0,50,2,392224,2,3,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"Kingsmead, Durban"
1557,Balachandra Akhil,c Tyagi b Oram,0,2,0,0,0,2,392224,2,-2,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"Kingsmead, Durban"
1558,Praveen Kumar,not out,12,6,0,1,200,2,392224,2,20,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"Kingsmead, Durban"
1559,Vinay Kumar,not out,6,2,1,0,300,2,392224,2,13,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,"Kingsmead, Durban"
1560,Rob Quiney,b Malinga,51,40,5,2,127.5,1,392225,2,60,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,"Kingsmead, Durban"
1561,Graeme Smith,c Duminy b Harbhajan Singh,19,19,3,0,100,1,392225,2,22,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,"Kingsmead, Durban"
1562,Yusuf Pathan,c Malinga b Nanda,17,14,3,0,121.43,1,392225,2,20,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,"Kingsmead, Durban"
1563,Ravindra Jadeja,c Bravo b Jayasuriya,42,32,4,1,131.25,1,392225,2,48,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,"Kingsmead, Durban"
1564,Siddharth Chitnis,c Nayar b Bravo,6,8,1,0,75,1,392225,2,7,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,"Kingsmead, Durban"
1565,Naman Ojha,c Rahane b Jayasuriya,1,4,0,0,25,1,392225,2,-5,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,"Kingsmead, Durban"
1566,Johan Botha,not out,2,3,0,0,66.67,1,392225,2,2,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,"Kingsmead, Durban"
1567,Shane Warne,run out (Harbhajan Singh/Jayasuriya),0,0,0,0,0,1,392225,2,-2,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,"Kingsmead, Durban"
1568,Dwayne Bravo,c & b Patel,1,3,0,0,33.33,2,392225,2,-5,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1569,Yogesh Takawale,c †Ojha b Trivedi,18,22,2,0,81.82,2,392225,2,20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1570,Ajinkya Rahane,c Raut b Warne,3,7,0,0,42.86,2,392225,2,-3,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1571,Sanath Jayasuriya,c Pathan b Warne,16,21,0,0,76.19,2,392225,2,16,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1572,Sachin Tendulkar,lbw b Warne,40,30,4,1,133.33,2,392225,2,46,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1573,Jean Paul Duminy,b Trivedi,4,5,0,0,80,2,392225,2,4,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1574,Abhishek Nayar,run out (†Ojha),35,18,4,1,194.44,2,392225,2,47,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1575,Harbhajan Singh,not out,7,8,0,0,87.5,2,392225,2,7,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1576,Dhawal Kulkarni,lbw b Patel,1,4,0,0,25,2,392225,2,-5,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1577,Chetanya Nanda,run out (Pathan),0,1,0,0,0,2,392225,2,-2,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1578,Lasith Malinga,run out (Warne/Patel),0,1,0,0,0,2,392225,2,-2,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,"Kingsmead, Durban"
1579,Gautam Gambhir,run out (†Sangakkara/Mota),8,11,0,0,72.73,1,392226,2,8,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1580,Virender Sehwag,c †Sangakkara b Lee,9,8,2,0,112.5,1,392226,2,11,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1581,Tillakaratne Dilshan,c Yuvraj Singh b Sreesanth,10,19,1,0,52.63,1,392226,2,11,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1582,AB de Villiers,c Yuvraj Singh b Sreesanth,11,11,1,0,100,1,392226,2,12,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1583,Mithun Manhas,c Sohal b Mota,26,25,2,0,104,1,392226,2,28,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1584,Dinesh Karthik,c Mota b Pathan,32,29,0,1,110.34,1,392226,2,34,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1585,Farveez Maharoof,b Lee,3,8,0,0,37.5,1,392226,2,-3,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1586,Daniel Vettori,c Sohal b Pathan,1,2,0,0,50,1,392226,2,1,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1587,Rajat Bhatia,c Chawla b Lee,0,1,0,0,0,1,392226,2,-2,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1588,Pradeep Sangwan,not out,5,5,0,0,100,1,392226,2,5,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1589,Ashish Nehra,not out,1,1,0,0,100,1,392226,2,1,Delhi Capitals,Punjab Kings,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1590,Sunny Sohal,b Nehra,3,12,0,0,25,2,392226,2,-3,Punjab Kings,Delhi Capitals,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1591,Simon Katich,c †Karthik b Maharoof,20,10,2,1,200,2,392226,2,30,Punjab Kings,Delhi Capitals,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1592,Luke Pomersbach,c de Villiers b Maharoof,9,8,2,0,112.5,2,392226,2,11,Punjab Kings,Delhi Capitals,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1593,Yuvraj Singh,c Sehwag b Sangwan,18,31,1,0,58.06,2,392226,2,19,Punjab Kings,Delhi Capitals,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1594,Kumar Sangakkara,not out,43,47,6,0,91.49,2,392226,2,49,Punjab Kings,Delhi Capitals,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1595,Irfan Pathan,not out,21,11,0,3,190.91,2,392226,2,33,Punjab Kings,Delhi Capitals,Punjab Kings,field,"Mangaung Oval, Bloemfontein"
1596,Sanath Jayasuriya,c Raina b Tyagi,30,17,3,2,176.47,1,392227,2,43,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1597,Dwayne Bravo,b Morkel,5,8,1,0,62.5,1,392227,2,6,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1598,Jean Paul Duminy,run out (Morkel),62,54,4,2,114.81,1,392227,2,70,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1599,Sachin Tendulkar,c Balaji b Raina,11,14,0,0,78.57,1,392227,2,11,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1600,Abhishek Nayar,not out,33,27,1,2,122.22,1,392227,2,38,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1601,Harbhajan Singh,run out (Hayden/†Dhoni),1,1,0,0,100,1,392227,2,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1602,Parthiv Patel,lbw b Malinga,0,1,0,0,0,2,392227,2,-2,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1603,Matthew Hayden,not out,60,57,4,1,105.26,2,392227,2,66,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1604,Suresh Raina,c & b Bravo,20,12,2,2,166.67,2,392227,2,26,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1605,S Badrinath,c †Takawale b Kulkarni,22,23,2,1,95.65,2,392227,2,26,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1606,MS Dhoni,not out,23,22,2,0,104.55,2,392227,2,25,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,"St George's Park, Port Elizabeth"
1607,Brendon McCullum,c Suman b Harris,20,18,1,1,111.11,1,392228,2,23,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,"The Wanderers Stadium, Johannesburg"
1608,Sourav Ganguly,c Harris b Sharma,33,41,3,0,80.49,1,392228,2,36,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,"The Wanderers Stadium, Johannesburg"
1609,Brad Hodge,c Harmeet Singh b Harris,48,41,5,0,117.07,1,392228,2,53,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,"The Wanderers Stadium, Johannesburg"
1610,David Hussey,run out (†Gilchrist),43,17,2,4,252.94,1,392228,2,59,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,"The Wanderers Stadium, Johannesburg"
1611,Wriddhiman Saha,c Singh b Symonds,7,3,0,1,233.33,1,392228,2,15,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,"The Wanderers Stadium, Johannesburg"
1612,Mashrafe Mortaza,not out,2,2,0,0,100,1,392228,2,2,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,"The Wanderers Stadium, Johannesburg"
1613,Ajit Agarkar,not out,0,0,0,0,0,1,392228,2,-2,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,"The Wanderers Stadium, Johannesburg"
1614,Adam Gilchrist,c sub (LR Shukla) b Hodge,43,31,5,2,138.71,2,392228,2,52,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,"The Wanderers Stadium, Johannesburg"
1615,Herschelle Gibbs,c Hussey b Kartik,28,34,3,0,82.35,2,392228,2,31,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,field,"The Wanderers Stadium, Johannesburg"
