,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location
29,Taruwar Kohli,c Manhas b McGrath,7,12,0,1,58.33,1,335984,1,9,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
30,Yusuf Pathan,run out (Manhas/Geeves),10,5,2,0,200,1,335984,1,18,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
31,Shane Watson,run out (Dhawan/Bhatia),21,15,4,0,140,1,335984,1,25,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
32,Mohammad Kaif,c Geeves b Bhatia,9,19,0,0,47.37,1,335984,1,3,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
33,Darren Lehmann,lbw b Maharoof,1,2,0,0,50,1,335984,1,1,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
34,Ravindra Jadeja,b Vettori,29,23,2,2,126.09,1,335984,1,35,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
35,Mahesh Rawat,b Bhatia,2,4,0,0,50,1,335984,1,2,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
36,Dinesh Salunkhe,not out,26,20,4,0,130,1,335984,1,30,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
37,Shane Warne,b Maharoof,14,13,2,0,107.69,1,335984,1,16,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
38,Siddharth Trivedi,not out,3,7,0,0,42.86,1,335984,1,-3,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
39,Gautam Gambhir,not out,58,46,7,1,126.09,2,335984,1,67,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,"Arun Jaitley Stadium, Delhi"
